User_name,Location_hotel,Hotel_name,Rating,Comment,Service,Infrastructure,Sanitary,Location,Attitude
Nguyen V. C.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,gia_đình đi ok chuyến đi thành_công vui_vẻ,0,0,0,0,2
Nguyen T. A. T.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,8.5,khách_sạn dịch_vụ tốt thủ_tục gọn nhân_viên nhiệt_tình vui_vẻ phòng trễ khách_sạn phòng nghỉ phòng thuê nhân_viên ivivu tư_vấn nhiệt_tình,1,0,0,0,2
Tran T. M. T.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,9.0,victoria phan_thiết tốt không_có_gì phàn_nàn đáp_ứng yêu_cầu,0,0,0,0,2
Dang T. D.,Đà Lạt,Khách Sạn LADALAT,6.0,khách_sạn hơi trung_tâm phòng_ốc tốt buffet món thức_ăn tệ không_ngon nhân_viên tư_vấn tốt,1,1,0,1,1
Nguyen T. M. H.,Phan Thiết,Sea Links Beach Villas Phan Thiết,8.7,tốt khâu xếp_hàng bãi biển hơi sắp_xếp chen_lấn,0,0,0,0,2
Tran B. N.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,9.0,hài_lòng phòng_ốc chất_lượng dịch_vụ tốt nhân_viên ivivu hỗ_trợ tốt,1,1,0,0,2
Nguyen H. T.,Nha Trang,Khu nghỉ dưỡng Fusion Cam Ranh,8.0,không_có xe đưa_đón sân_bay khu nghỉ_dưỡng ổn không_có_gì đặc_sắc lắm,0,0,0,0,1
Nguyen N. T.,Đà Nẵng,Khách sạn Royal Charm,9.4,tuyệt hài_lòng dịch_vụ,1,0,0,0,2
Pham T. T.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,tuyệt_vời phòng sạch_sẽ nhân_viên niềm nở duy_nhất bể_bơi sửa_chữa gạch xước xát,1,1,1,0,2
Thanh T. N.,Phan Thiết,Rạng Garden Beach Side Resort,5.4,phòng mùi ẩm khó_chịu nhận_phòng nhà_vệ_sinh không_đúng chuẩn 3 đồ ăn không_ngon không_đa_dạng giường nệm grap nệm không_được sạch,1,1,0,0,0
Minh M.,Hội An,TTC Hotel - Hoi An,9.4,lễ_tân xinh gái nhiệt_tình,1,0,0,0,2
Thuy T.,Phú Quốc,The Palmy Phú Quốc Resort & Spa,6.0,khách_sạn xây công_trình hơi dơ bụi,0,1,0,0,0
Trang T.,Đà Nẵng,Angel Hotel Danang,9.4,dịch_vụ tốt nhân_viên thân_thiện nhiệt_tình buffet ngon một_số vấn_đề không_sao đà nẵng khách_sạn,1,0,0,0,2
Le H. T.,Nha Trang,An Lâm Retreats Ninh Vân Bay,10.0,kỳ nghỉ tuyệt_vời,0,0,0,0,2
Nguyen T. M.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,9.5,chúng_tôi hài_lòng chuyến đi không_có_gì phàn_nàn,0,0,0,0,2
Hien H.,Nha Trang,Khách sạn Senkotel Nha Trang,8.4,phòng_ốc ok giá nhà_vệ_sinh ồn bật điện tiếng máy hút gió vù_vù cực to đi biển lễ_tân dễ_thương 1 xấu mấy lao_công nói_chuyện to phòng không_cách_âm ngủ mấy lao_công gõ_cửa dọn phòng bất_tiện hơi khó_chịu khách_sạn khắc_phục mấy lao_công nói_chuyện to dọn phòng nhu_cầu ok,1,1,1,0,1
