User_name,Location_hotel,Hotel_name,Rating,Comment,Service,Infrastructure,Sanitary,Location,Attitude
Nguyen V. C.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,tôi đặt cho gia_đình của tôi đi nghe nói mọi thứ ok hết chuyến đi thành_công và vui_vẻ,0,0,0,0,2
Nguyen T. A. T.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,8.5,khách_sạn có dịch_vụ tốt thủ_tục nhanh gọn nhân_viên nhiệt_tình vui_vẻ khi tôi trả phòng trễ khách_sạn còn cho tôi một phòng khác để nghỉ khi phòng tôi đang ở có khách khác thuê nhân_viên ivivu tư_vấn cho tôi nhiệt_tình,1,0,0,0,2
Tran T. M. T.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,9.0,victoria phan_thiết rất tốt tôi không_có_gì phàn_nàn hết đáp_ứng đúng yêu_cầu của tôi,0,0,0,0,2
Dang T. D.,Đà Lạt,Khách Sạn LADALAT,6.0,khách_sạn hơi xa trung_tâm phòng_ốc tốt buffet ít món thức_ăn rất tệ không_ngon nhân_viên tư_vấn tốt,1,1,0,1,1
Nguyen T. M. H.,Phan Thiết,Sea Links Beach Villas Phan Thiết,8.7,tốt khâu xếp_hàng từ bãi biển hơi có người sắp_xếp nên chen_lấn,0,0,0,0,2
Tran B. N.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,9.0,tôi rất hài_lòng khi ở đây phòng_ốc và chất_lượng dịch_vụ rất tốt nhân_viên ivivu đã hỗ_trợ tôi rất tốt,1,1,0,0,2
Nguyen H. T.,Nha Trang,Khu nghỉ dưỡng Fusion Cam Ranh,8.0,không_có xe đưa_đón sân_bay khu nghỉ_dưỡng ở mức ổn không_có_gì đặc_sắc lắm,0,0,0,0,1
Nguyen N. T.,Đà Nẵng,Khách sạn Royal Charm,9.4,tuyệt tôi rất hài_lòng về dịch_vụ,1,0,0,0,2
Pham T. T.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,tuyệt_vời phòng sạch_sẽ nhân_viên niềm nở chỉ duy_nhất bể_bơi đang sửa_chữa nền gạch nền xước xát nhiều,1,1,1,0,2
Thanh T. N.,Phan Thiết,Rạng Garden Beach Side Resort,5.4,phòng có mùi ẩm khó_chịu khi nhận_phòng nhà_vệ_sinh không_đúng chuẩn 3 sao đồ ăn sáng không_ngon và không_đa_dạng giường nệm và grap nệm không_được sạch,1,1,0,0,0
Minh M.,Hội An,TTC Hotel - Hoi An,9.4,cô lễ_tân xinh gái nhiệt_tình,1,0,0,0,2
Thuy T.,Phú Quốc,The Palmy Phú Quốc Resort & Spa,6.0,khách_sạn mới xây nên bên ngoài đang làm công_trình hơi dơ bụi,0,1,0,0,0
Trang T.,Đà Nẵng,Angel Hotel Danang,9.4,dịch_vụ rất tốt nhân_viên thân_thiện nhiệt_tình buffet sáng ngon tuy còn một_số vấn_đề nhưng không_sao nếu lần sau ra đà nẵng mình vẫn chọn lại khách_sạn này,1,0,0,0,2
Le H. T.,Nha Trang,An Lâm Retreats Ninh Vân Bay,10.0,kỳ nghỉ tuyệt_vời,0,0,0,0,2
Nguyen T. M.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,9.5,chúng_tôi hài_lòng về chuyến đi không_có_gì phàn_nàn cả,0,0,0,0,2
Hien H.,Nha Trang,Khách sạn Senkotel Nha Trang,8.4,phòng_ốc rất ok so với giá nhưng nhà_vệ_sinh khá ồn bật điện lên là nghe tiếng máy hút gió vù_vù cực to đi ra biển cũng gần lễ_tân cũng dễ_thương nhưng mà 1 điểm xấu nhỏ là mấy cô lao_công nói_chuyện quá to vì phòng không_cách_âm nên ở trong nghe bên ngoài nói rất rõ khách đang ngủ thì mấy cô lao_công gõ_cửa dọn phòng nên mình thấy khá bất_tiện và hơi khó_chịu khách_sạn khắc_phục mấy chuyện lao_công nói_chuyện to và dọn phòng khi khách chưa có nhu_cầu là ok nhé,1,1,1,0,1
Nguyen K. D.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,10.0,khách_sạn rất tốt tôi không_phàn_nàn điều gì dịch_vụ của khách_sạn và của ivivu đều khiến tôi hài_lòng khách_sạn đạt tiêu_chuẩn và tôi được phục_vụ chu_đáo từ quá_trình đặt phòng cho đến khi ở tôi có thử sẽ không_gọi trước cho khách_sạn khi đến nhưng đúng thật họ đón_tiếp tôi rất đúng giờ lần sau nếu có nhu_cầu tôi sẽ liên_hệ lại ivivu,1,0,0,0,2
