User_name,Location,Hotel_name,Rating,Comment
Nguyen V. C.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,Tôi đặt cho gia đình của Tôi đi nghe nói mọi thứ ok hết. Chuyến đi thành công và vui vẻ
Nguyen T. A. T.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,8.5,"khách_sạn có dịch_vụ tốt, thủ tục nhanh gọn, nhân_viên nhiệt tình vui vẻ. Khi tôi trả phòng trễ, khách_sạn còn cho tôi một phòng khác để nghỉ khi phòng tôi đang ở có khách khác thuê . nhân_viên ivivu tư vấn cho tôi nhiệt tình."
Tran T. M. T.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,9.0,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
Dang T. D.,Đà Lạt,Khách Sạn LADALAT,6.0,"khách_sạn hơi xa trung tâm, phòng ốc tốt, buffet ít món, thức ăn rất tệ không ngon.
nhân_viên tư vấn tốt. "
Nguyen T. M. H.,Phan Thiết,Sea Links Beach Villas Phan Thiết,8.7,"tốt, khâu xếp tài từ bãi biển  hơi có người sắp xếp nên chen lấn"
Tran B. N.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,9.0,"Tôi rất hài lòng khi ở đây, phòng ốc và chất lượng dịch_vụ rất tốt. nhân_viên ivivu đã hỗ trợ tôi rất tốt."
Nguyen H. T.,Nha Trang,Khu nghỉ dưỡng Fusion Cam Ranh,8.0,"Không có xe đưa đón sân bay. Khu nghỉ dưỡng ở mức ổn, không có gì đặc sắc lắm"
Nguyen N. T.,Đà Nẵng,Khách sạn Royal Charm,9.4,Tuyệt. Tôi rất hài lòng về dịch_vụ
Pham T. T.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,"Tuyệt vời, phòng sạch_sẽ, nhân_viên niềm nở. Chỉ duy nhất bể bơi đang sửa chữa nền gạch nền xước xát nhiều."
Thanh T. N.,Phan Thiết,Rạng Garden Beach Side Resort,5.4,"Phòng có mùi ẩm, khó chịu khi nhận_phòng, nhà_vệ_sinh không đúng chuẩn 3 sao. Đồ ăn sáng không ngon và không đa dạng. Giường nệm và grap nệm không được sạch"
Minh M.,Hội An,TTC Hotel - Hoi An,9.4,Cô lễ tân xinh gái nhiệt tình.
Thuy T.,Phú Quốc,The Palmy Phú Quốc Resort & Spa,6.0,khách_sạn mới xây nên bên ngoài đang làm công trình hơi dơ bụi
Trang T.,Đà Nẵng,Angel Hotel Danang,9.4,"dịch_vụ rất tốt, nhân_viên thân thiện nhiệt tình. Buffet sáng ngon. Tuy còn một số vấn đề nhưng không sao. Nếu lần sau ra Đà Nẵng mình vẫn chọn lại khách_sạn này."
Le H. T.,Nha Trang,An Lâm Retreats Ninh Vân Bay,10.0,kỳ nghỉ tuyệt vời
Nguyen T. M.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,9.5,Chúng tôi hài lòng về chuyến đi. Không có gì phàn nàn cả
Hien H.,Nha Trang,Khách sạn Senkotel Nha Trang,8.4,"Phòng ốc rất ok so với giá nhưng nhà vệ sinh khá ồn bật điện lên là nghe tiếng máy hút gió vù vù cực to ,đi ra biển cũng gần , lễ tân cũng dễ thương nhưng mà 1 điểm xấu nhỏ là mấy cô lao công nói chuyện quá to,vì phòng không cách âm nên ở trong nghe bên ngoài nói rất rõ,khách đang ngủ thì mấy cô lao công gõ cửa dọn phòng nên mình thấy khá bất tiện và hơi khó chịu, khách_sạn khắc phục mấy chuyện lao công nói chuyện to và dọn phòng khi khách chưa có nhu cầu là ok nhé"
Nguyen K. D.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,10.0,"khách_sạn rất tốt, tôi không phàn nàn điều gì dịch_vụ của khách_sạn và của ivivu đều khiến tôi hài lòng. khách_sạn đạt tiêu chuẩn và tôi được phục_vụ chu đáo từ quá trình đặt phòng cho đến khi ở. Tôi có thử sẽ không gọi trước cho khách_sạn khi đến nhưng đúng thật họ đón tiếp tôi rất đúng giờ. Lần sau nếu có nhu cầu tôi sẽ liên hệ lại ivivu."
Nguyen T. K.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,8.0,"Tôi cảm thấy rất hài lòng về khu nghỉ dưỡng này . Mọi thứ ở khu_nghỉ_mát đều rất thoải mái , khung cảnh rất đẹp và yên tĩnh .

"
Tran N. H.,Vũng Tàu,Oceanami Villas & Beach Club,6.0,"Oceanami biệt_thự Có vị trí thuận tiện, khuôn viên đẹp, ăn sáng tạm được...Tuy nhiên có điểm trừ là biệt_thự có bếp mà không cho sử dụng, bộ phận nhận_phòng quá tải vào ngày cuối tuần..."
Le H. T.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,dịch_vụ tốt
Nguyen T. T.,Hồ Chí Minh,Khách sạn Meraki Boutique,6.0,"Hình ảnh phòng trên web chỉ mang tính chất minh hoạ, nữ lễ tân ở đó khá khó tính. Nhận phòng từ 2 giờ chiều mà 4-5 giờ chiều chưa có đủ phòng"
Vu T. T.,Hạ Long,Ivy Hotel - Ha Long,9.1,"Phòng ốc sạch_sẽ, có thang máy đi rất tiện. Nơi ở cũng rất dễ tìm dễ dàng di chuyển"
Hoang T. H.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,8.0,"khách_sạn sạch_sẽ, đồ ăn ngon, nhân_viên chu đáo! "
Nguyen C. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,"Tôi rất hài lòng về khu_nghỉ_mát. Hôm tôi đi là sinh nhật của vợ tôi, khu_nghỉ_mát có chuẩn bị cho vợ tôi bánh kem, món quà thật ý nghĩa"
Nguyen T. M. D.,Phan Thiết,Sea Links Beach Villas Phan Thiết,8.5,"Chuyến đi rất tốt, tôi rất hài lòng về khách_sạn, mọi thứ tuyệt vời. nhân_viên ivivu làm việc rất chu đáo và tận tâm, cảm ơn ivivu đã hỗ trợ rất nhiệt tình cho chuyến đi của tôi."
Nguyen K. C.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,"Rất tốt, chuyến đi gia đình tôi rất hài lòng. Cảm ơn ivivu, hy vọng sẽ có dịp cùng hợp tác với công ty"
Le T. H. A.,Huế,The Sunriver Boutique Hotel Hue,9.7,"Nhận phòng giống trong hình, nhân_viên rất nhiệt tình, chu đáo và dễ thương"
Tran T. T.,Phan Thiết,Sea Links Beach Villas Phan Thiết,7.0,Khi Tôi đi Tôi có phát sinh 2 bé dưới 5 tuổi và Tôi đã phải thanh toán thêm tiền 1 bé. Tôi cảm thấy rất không hợp lý với chính sách đó trong khi Tôi ở biệt_thự 3 phòng ngủ. Các khách_sạn khác Tôi ở đâu có phụ thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi.Chắc chắn Tôi sẽ không quay lại. Bên ivivu Tôi vẫn rất hài lòng
Nguyen H. Y.,Phan Thiết,Sea Links Beach Resort & Golf,8.6,"khách_sạn có khu hồ bơi rộng, phần lớn các phòng đều khung_cảnh hồ bơi. khách_sạn xa biển với nội thất trong khách_sạn thiết kế đã cũ. Phòng ổn, sạch_sẽ."
Nguyen T. T. L.,Đà Nẵng,Angel Hotel Danang,6.0,"Nhận phòng lúc chiều tối và trong phòng không có dép, lúc mình đi chơi có xuống nhờ lễ tân mang dép lên thì lúc đi chơi về có thấy mang lên thật nhưng cửa phòng lại mở to ( sợ thật sự) với cả không có nước nóng :(("
Nguyen V. H.,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,9.0,Tốt. Không có gì phàn nàn
Nguyen B. V.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,Bạn tư vấn cho Tôi khá dễ thương và nhiệt tình . khách_sạn tốt . Tôi sẽ đồng hành cùng ivivu trong các chuyến đi sắp tới
Tran H. T.,Vũng Tàu,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,10.0,"  Mình hài lòng với chất lượng của khách_sạn, nhân_viên tư vấn của ivivu chu đáo"
Thu T. N.,Nha Trang,Le Soleil Nha Trang Hotel,5.5,"khách_sạn không phục_vụ buffet ăn, mà chỉ có cơm rang và 1 ít hoa quả. Phòng ăn nóng, Phòng to nhưng dịch_vụ không ổn. nhân_viên trực không đầy đủ; phải gọi mới được. khung_cảnh bị chắn nhà trước nên không thoáng"
Vu T. H.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,"Phòng đẹp và rộng rãi, sạch_sẽ. phục_vụ chu đáo. Nhưng phòng tôi ở sát với công trình nên hơi ồn và bụi. Nhưng nhìn chung tôi và gia đình vẫn thích chuyến đi. Sau khi sử dụng dịch_vụ về cảm thấy yên tâm về dịch_vụ của ivivu và sẽ tiếp tục liên hệ cho những chuyến đi kế"
Nguyen T. T. V.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,"Khu nghỉ dưỡng tuyệt vời, cảnh đẹp, chụp hình sống ảo đẹp không tưởng, ăn ngon. Các em nhân_viên hết sức nhiệt tình, thân thiện và chu đáo. "
Nguyen T. T. M.,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.8,"Bãi biển có bể bơi nước ấm vào mùa đông nên nhà mình rất thích. Đồ ăn sáng đa dạng, trong đó có phở bò rất ngon. Phòng đẹp, nhân_viên phục_vụ niềm nở, nhiệt tình. Tuy nhiên, do phòng tắm rộng nên vách kính trong buồng tắm nếu có thêm cánh cửa thì sẽ ấm hơn vào mùa đông. khung_cảnh thì bình thường do xung quanh vẫn đang xây dựng dở dang. Ở bên này thì qua khu bãi cháy chơi hơi bất tiện 1 tẹo. Nhà mình ngày 2 lần vòng vèo qua cầu bãi cháy để đi ăn uống, cà phê."
Huong H.,Phan Thiết,Sea Links Beach Resort & Golf,8.5,Rất tuyệt. nhân_viên phục_vụ rất tận tình
Phan T. H.,Đà Nẵng,Khách sạn A La Carte Đà Nẵng,10.0,Rất sạch_sẽ. Một điểm đến khá thú vị. Nhất định sẽ quay lại
