Attitude,Index,Comment
True,4,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,5,"khách_sạn hơi xa trung tâm, phòng ốc tốt, buffet ít món, thức ăn rất tệ không ngon.
nhân_viên tư vấn tốt. "
True,12,Cô lễ tân xinh gái nhiệt tình.
True,13,khách_sạn mới xây nên bên ngoài đang làm công trình hơi dơ bụi
True,17,"Phòng ốc rất ok so với giá nhưng nhà vệ sinh khá ồn bật điện lên là nghe tiếng máy hút gió vù vù cực to ,đi ra biển cũng gần , lễ tân cũng dễ thương nhưng mà 1 điểm xấu nhỏ là mấy cô lao công nói chuyện quá to,vì phòng không cách âm nên ở trong nghe bên ngoài nói rất rõ,khách đang ngủ thì mấy cô lao công gõ cửa dọn phòng nên mình thấy khá bất tiện và hơi khó chịu, khách_sạn khắc phục mấy chuyện lao công nói chuyện to và dọn phòng khi khách chưa có nhu cầu là ok nhé"
True,20,"Oceanami biệt_thự Có vị trí thuận tiện, khuôn viên đẹp, ăn sáng tạm được...Tuy nhiên có điểm trừ là biệt_thự có bếp mà không cho sử dụng, bộ phận nhận_phòng quá tải vào ngày cuối tuần..."
True,22,"Hình ảnh phòng trên web chỉ mang tính chất minh hoạ, nữ lễ tân ở đó khá khó tính. Nhận phòng từ 2 giờ chiều mà 4-5 giờ chiều chưa có đủ phòng"
True,32,Tốt. Không có gì phàn nàn
True,36,"Phòng đẹp và rộng rãi, sạch_sẽ. phục_vụ chu đáo. Nhưng phòng tôi ở sát với công trình nên hơi ồn và bụi. Nhưng nhìn chung tôi và gia đình vẫn thích chuyến đi. Sau khi sử dụng dịch_vụ về cảm thấy yên tâm về dịch_vụ của ivivu và sẽ tiếp tục liên hệ cho những chuyến đi kế"
True,38,"Bãi biển có bể bơi nước ấm vào mùa đông nên nhà mình rất thích. Đồ ăn sáng đa dạng, trong đó có phở bò rất ngon. Phòng đẹp, nhân_viên phục_vụ niềm nở, nhiệt tình. Tuy nhiên, do phòng tắm rộng nên vách kính trong buồng tắm nếu có thêm cánh cửa thì sẽ ấm hơn vào mùa đông. khung_cảnh thì bình thường do xung quanh vẫn đang xây dựng dở dang. Ở bên này thì qua khu bãi cháy chơi hơi bất tiện 1 tẹo. Nhà mình ngày 2 lần vòng vèo qua cầu bãi cháy để đi ăn uống, cà phê."
True,40,Rất sạch_sẽ. Một điểm đến khá thú vị. Nhất định sẽ quay lại
True,42,"dịch_vụ khách_sạn mình hài lòng, nhân_viên tư vấn ivivu hỗ trợ mình nhiệt tình, mình làm việc qua bạn này quen rồi."
True,48,"Phòng giống hình, ăn sáng ít món."
True,49,"dịch_vụ tốt, do đang sửa chữa nên hơi ồn, nhân_viên tư vấn nhiệt tình, mình hay đi của ivivu."
True,56,"khách_sạn có khuôn viên rộng, sạch_sẽ và nhiều cây thoáng mát."
True,64,khách_sạn mới...mọi thứ ổn.hồ bơi đẹp...
True,65,"Mọi thứ đều tuyệt, trừ sàn nhà hơi dơ và thang máy hơi sợ"
True,72,Set thực_đơn chất hơn lẩu thả (lẩu thả ăn để biết thôi). khu_nghỉ_mát đẹp
True,74,Ok
True,76,"phòng rộng rãi, sạch_sẽ"
True,100,"khách_sạn sạch_sẽ, ăn sáng ổn, mọi thứ đều ok. Lễ tân chưa niềm nở lắm."
True,102,"quá ồn ào , mặc dù đã đặt phòng trước nhưng khi đến vẫn hết phòng phải chuyển sang khách_sạn khác"
True,105,"Phòng thì ban công khoá không được, máy lạnh thì cũ để 16 độ mà như 28 độ ? Đèn lại bị hư …."
True,110,"Tôi thấy chuyến đi không có gì để phàn nàn,tốt hết."
True,116,"Phòng ốc cũng ok nhưng hơi nhiều muỗi, nhân_viên và dịch_vụ tốt"
True,132,"Tốt lắm, chỉ có máy bay bị dời lại thôi, còn lại rất hài lòng."
True,136,Thái độ của lễ tân không tốt. Wifi rất yếu dường như không xài được. Phòng khung_cảnh biển cũng chỉ nhìn được biển lấp ló qua mấy toà nhà.
True,140,"Món ăn trong buffet hơi ít, phòng rộng, máy lạnh hơi nhỏ nên không mát, nhân_viên tư vấn cũng như nhân_viên khách_sạn nhiệt tình và hỗ trợ đặt phòng phòng nhanh chóng. 

"
True,150,"Tôi khá hài lòng khi ở đây, phòng ốc đẹp và vị trí khách_sạn cũng đẹp nữa chỉ có 1 điều là thang máy của khách_sạn có hơi chậm, nhưng mà cũng không sao cả. nhân_viên ivivu đã hỗ trợ tôi rất nhiệt tình."
True,151,"sạch_sẽ, an uong tot , ở biệt_thự hơi bất tiện việc di chuyen"
True,154,Giờ nhận phòng là 14h. Mà 17 giờ mới được nhận phòng
True,160,"giá_cả mùa dịch tầm 5xx-6xxk, quá rẻ để trải nghiệm 5 sao. Nhưng lỗi thiết kế nội thất vẫn chưa xứng tầm 5 sao lắm. Chế độ tắt và bật công tắc điện không đồng bộ. Gặp người có tính cầu toàn thì nhìn sẽ khó chịu. Phòng 1005. khách_sạn nếu đọc được thì nên fix chỗ này để đúng với trải nghiệm 5 sao."
True,161,"Toa tàu chuyến đi hơi cũ, ghế nhỏ (toa số 3). Chuyến về ghế mới, thoải mái hơn (toa số 4). Còn khách_sạn phòng đẹp, tiện nghi. Tôi đã có 1 chuyến đi vui vẻ, tôi thích lắm"
True,171,"khu_nghỉ_mát ở tôi thấy ok, nhân_viên chu đáo."
True,172,"nhân_viên rất nhiệt tình, phòng đẹp, đồ uống ngon tuy nhiên thực đơn không phong phú, chủ yếu là những món tây đơn giản, không có những món đặc trưng của vùng miền, không có hải sản trong thực đơn. Là 1 trong những nguyên nhân mà khách phải ra ngoài ăn thay vì chỉ chọn khu_nghỉ_mát là 1 điểm duy nhất"
True,178,khu_nghỉ_mát mới xây nên còn nhiều thứ chưa đâu vào đâu
True,179,"Phòng đẹp và thoải mái.
nhân_viên thân thiện. Thực phẩm là tốt. Nhưng vẫn còn dưới xây dựng, bãi biển không thể bơi.
"
True,182,"nhân_viên thân thiện, môi trường sạch_sẽ, tuy nhiên cần chăm sóc cảnh quan, cây cối hơn."
True,186,Mọi thứ đều ổn. Cạnh bồn cầu cần có thêm 1 vòi xịt.
True,197,"Rất hài lòng với 2 đêm ở khu_nghỉ_mát. Nhưng vì xa trung tâm nên tối chỉ có thể ăn hải sản ở làng chài cạnh khu_nghỉ_mát. Mua đồ chọn đồ ngay bãi biển, tươi sống, ngon. Nhưng được vào trung tâm thành phố vẫn thích hơn 😂"
True,199,"Mất điện, mất nước đúng hôm mình ở nên không buồn về phòng"
True,205,Chân thành cảm ơn bạn nhân_viên tư vấn Huỳnh Tấn Du đã hết mình hỗ trợ. Chúc mừng ivivu có được nhân_viên có tài và có tâm như bạn Huỳnh Tuấn Du. Công ty bạn sẽ thành công nhờ những bạn nhân_viên như Du.
True,218,"Tôi không phàn nàn gì về chuyến đi, cách phục_vụ tốt"
True,226,"khách_sạn làm thủ tục nhận phòng lâu quá, còn lại tôi đều hài lòng"
True,234,"Bị ưng từ khi xem ảnh và quyết định chọn the bay ngay từ cái nhìn đầu tiên, phòng đẹp lung linh tha hồ sống ảo :)) điểm cộng nữa là có gương to cho chị em dễ dàng make up với lên đồ, anh chủ nhiệt tình vui tính hỏi nhiều mà vẫn không bị mắng :)) vote 5 sao !!!"
True,235,khách_sạn đẹp tuyệt vời Thích nhất là có ban công thoáng Mỗi cái là bữa sáng không ngon
True,254,Nói chung nó khá tốt. nhân_viên cần chuyên nghiệp hơn. Tốt hơn nhiều nếu phòng là tiếng ồn bằng chứng
True,284,Khi Tôi đi Tôi có phát sinh 2 bé dưới 5 tuổi và Tôi đã phải thanh toán thêm tiền 1 bé. Tôi cảm thấy rất không hợp lý với chính sách đó trong khi Tôi ở biệt_thự 3 phòng ngủ. Các khách_sạn khác Tôi ở đâu có phụ thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi.Chắc chắn Tôi sẽ không quay lại. Bên ivivu Tôi vẫn rất hài lòng
True,289,"phòng rất đẹp, khu du lịch nhiều trò chơi hấp dẫn. tuy nhiên, đồ ăn ở nhà hàng hơi chán."
True,296,nhân_viên đưa phòng khác trên ảnh
True,297,nhân_viên chưa nhiệt tình tương tác với khách hàng. Đẩy khó khăn về phía khách hàng
True,299,"khách_sạn sạch_sẽ, wifi sóng yếu không làm được gì, ăn sáng nguội quá, cảm ơn!"
True,305,"khách_sạn nhỏ hơi tối, phòng cũng đẹp. Xứng đáng với gia tiền"
True,312,Với tầm giá 1 triệu cho 3 đêm với phòng như vậy là quá chuẩn. Lễ tân khá nhiệt tình.
True,313,"khách_sạn cũng ổn, hơi xa trung tâm"
