Infrastructure,Index,Comment
True,4,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,13,khách_sạn mới xây nên bên ngoài đang làm công trình hơi dơ bụi
True,19,"Tôi cảm thấy rất hài lòng về khu nghỉ dưỡng này . Mọi thứ ở khu_nghỉ_mát đều rất thoải mái , khung cảnh rất đẹp và yên tĩnh ."
True,22,"Hình ảnh phòng trên web chỉ mang tính chất minh hoạ, nữ lễ tân ở đó khá khó tính. Nhận phòng từ 2 giờ chiều mà 4-5 giờ chiều chưa có đủ phòng"
True,23,"Phòng ốc sạch_sẽ, có thang máy đi rất tiện. Nơi ở cũng rất dễ tìm dễ dàng di chuyển"
True,24,"khách_sạn sạch_sẽ, đồ ăn ngon, nhân_viên chu đáo! "
True,26,"Chuyến đi rất tốt, tôi rất hài lòng về khách_sạn, mọi thứ tuyệt vời. nhân_viên ivivu làm việc rất chu đáo và tận tâm, cảm ơn ivivu đã hỗ trợ rất nhiệt tình cho chuyến đi của tôi."
True,28,"Nhận phòng giống trong hình, nhân_viên rất nhiệt tình, chu đáo và dễ thương"
True,29,Khi Tôi đi Tôi có phát sinh 2 bé dưới 5 tuổi và Tôi đã phải thanh toán thêm tiền 1 bé. Tôi cảm thấy rất không hợp lý với chính sách đó trong khi Tôi ở biệt_thự 3 phòng ngủ. Các khách_sạn khác Tôi ở đâu có phụ thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi.Chắc chắn Tôi sẽ không quay lại. Bên ivivu Tôi vẫn rất hài lòng
True,32,Tốt. Không có gì phàn nàn
True,33,Bạn tư vấn cho Tôi khá dễ thương và nhiệt tình . khách_sạn tốt . Tôi sẽ đồng hành cùng ivivu trong các chuyến đi sắp tới
True,35,"khách_sạn không phục_vụ buffet ăn, mà chỉ có cơm rang và 1 ít hoa quả. Phòng ăn nóng, Phòng to nhưng dịch_vụ không ổn. nhân_viên trực không đầy đủ; phải gọi mới được. khung_cảnh bị chắn nhà trước nên không thoáng"
True,37,"Khu nghỉ dưỡng tuyệt vời, cảnh đẹp, chụp hình sống ảo đẹp không tưởng, ăn ngon. Các em nhân_viên hết sức nhiệt tình, thân thiện và chu đáo. "
True,41,"Phòng sạch_sẽ, tinh tế từ những chi tiết nhỏ. dịch_vụ tốt và có hidden bar ngay dưới hầm. Từ khách_sạn đi vài bước là ra hồ Gươm và tiện_ích xung quanh có đủ. Một nơi xứng đáng để quay lại nhiều lần."
True,49,"dịch_vụ tốt, do đang sửa chữa nên hơi ồn, nhân_viên tư vấn nhiệt tình, mình hay đi của ivivu."
True,52,tuyệt vời
True,56,"khách_sạn có khuôn viên rộng, sạch_sẽ và nhiều cây thoáng mát."
True,62,Mọi thứ tôi thấy hầu  như đều tốt. Chuyến đi thật sự thoải mái và hài lòng
True,66,"khách_sạn sạch_sẽ, nhân_viên dễ thương, vị trí trung tâm rất tiện cho việc đi chơi. Sẽ còn quay lại đặt phòng."
True,67,"Rất ấn tượng,  sẽ sử dụng thường xuyên và giới thiệu bạn bè sp này "
