Location,Index,Comment
True,4,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,6,"tốt, khâu xếp hàng từ bãi biển  hơi có người sắp xếp nên chen lấn"
True,17,"Phòng ốc rất ok so với giá nhưng nhà vệ sinh khá ồn bật điện lên là nghe tiếng máy hút gió vù vù cực to ,đi ra biển cũng gần , lễ tân cũng dễ thương nhưng mà 1 điểm xấu nhỏ là mấy cô lao công nói chuyện quá to,vì phòng không cách âm nên ở trong nghe bên ngoài nói rất rõ,khách đang ngủ thì mấy cô lao công gõ cửa dọn phòng nên mình thấy khá bất tiện và hơi khó chịu, khách_sạn khắc phục mấy chuyện lao công nói chuyện to và dọn phòng khi khách chưa có nhu cầu là ok nhé"
True,23,"Phòng ốc sạch_sẽ, có thang máy đi rất tiện. Nơi ở cũng rất dễ tìm dễ dàng di chuyển"
True,26,"Chuyến đi rất tốt, tôi rất hài lòng về khách_sạn, mọi thứ tuyệt vời. nhân_viên ivivu làm việc rất chu đáo và tận tâm, cảm ơn ivivu đã hỗ trợ rất nhiệt tình cho chuyến đi của tôi."
True,32,Tốt. Không có gì phàn nàn
True,41,"Phòng sạch_sẽ, tinh tế từ những chi tiết nhỏ. dịch_vụ tốt và có hidden bar ngay dưới hầm. Từ khách_sạn đi vài bước là ra hồ Gươm và tiện_ích xung quanh có đủ. Một nơi xứng đáng để quay lại nhiều lần."
True,43,"Chất lượng khách_sạn tốt. Gia đình tôi hài lòng, đã có chuyến đi vui vẻ"
True,52,tuyệt vời
True,56,"khách_sạn có khuôn viên rộng, sạch_sẽ và nhiều cây thoáng mát."
True,61,"khách_sạn cực kỳ sạch_sẽ, hiện đại, bể bơi nước trong vắt, có xe đưa đón rất thuận tiện, buffet sáng khá ngon, nhân_viên thân thiện, lễ phép! Điểm trừ: mình có em bé, đến từ rất sớm nhưng nhận phòng lại muộn (bạn mình đến sau lại được nhận phòng trước, không hiểu khách_sạn ưu tiên thế nào!). Mình ở 2 ngày nhưng xe đẩy em bé luôn là không mượn được, mình chọn ở đây 1 phần vì có xe đẩy nên mình không mang theo vậy mà không có xe cho mượn, bế muốn gãy cái tay 🥲"
True,62,Mọi thứ tôi thấy hầu  như đều tốt. Chuyến đi thật sự thoải mái và hài lòng
True,64,khách_sạn mới...mọi thứ ổn.hồ bơi đẹp...
True,65,"Mọi thứ đều tuyệt, trừ sàn nhà hơi dơ và thang máy hơi sợ"
True,67,"Rất ấn tượng,  sẽ sử dụng thường xuyên và giới thiệu bạn bè sp này "
True,68,Mọi thứ điều ok. Đủ để cho ai thích ở lâu ngày đấy.❤️❤️
True,69,"Trước khi nhận phòng: khách_sạn bảo không có dịch_vụ đưa đón sân bay miễn_phí như liệt kê trong mô tả đặt phòng — gọi yêu cầu app — đặt phòng taxi xong rồi khách_sạn mới giải quyết. Lúc về gọi báo khách_sạn có đưa đón sân bay, khách_sạn lại chối, lại phải bảo app báo có mà, rồi lại báo có. Chán! Phòng nhận được sàn dơ, nhờ lau thì nói 15ph xuống thì 1 giờ sau phải gọi giục rồi mới xuống. Ngày hai yêu cầu dọn phòng buổi sáng mình ra ngoài nên nhờ tranh thủ, lúc về trưa thấy còn nguyên, chìu mình nhờ dọn lại. Thật sự sàn lau không sạch. Ăn sáng khỏi nói, đồ ăn vừa ít vừa không tươi vừa kiểu ỉu ỉu như để lâu. Nói chung mình không chọn khách_sạn này lần hai!"
True,70,Tuyệt vời nếu có lần sau nhất định quay lại.
True,72,Set thực_đơn chất hơn lẩu thả (lẩu thả ăn để biết thôi). khu_nghỉ_mát đẹp
True,73,"ivivu làm việc nhanh chóng và đầy đủ thông tin. Phòng và dịch_vụ tại khu nghỉ dưỡng ok, mọi việc tốt"
True,74,Ok
True,81,"Tôi thấy khách_sạn có chất lượng tương xứng với giá_cả, cảm ơn ivivu đã hỗ trợ."
True,84,dịch_vụ tốt. Bãi biển buổi sáng nước trong veo và có thể thấy được cá.
True,88,"phục_vụ tốt nhưng do chuyến đi tôi do bão nên không tham quan được nhiều. nhân_viên phục_vụ tận tình, đưa đón chu đáo"
True,89,"Không có trái cây chào mừng, nên hơi buồn xíu. Đường xuống bãi biển cát không mịn. Chất lượng phòng tốt"
True,92,Tốt . Không có gì phàn nàn !
True,93,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,95,khách_sạn có khung_cảnh tuyệt đẹp và dịch_vụ rất ổn. nhân_viên phục_vụ tận tâm làm khách luôn thấy hài lòng
True,96,"khách_sạn có chất lượng tốt, chuyến đi rất thuận_lợi. ivivu làm việc chu đáo, nhanh và nhiệt tình."
True,99,Mình rất ưng ý và đánh giá tốt cho khách_sạn và cho nhân_viên . Các bạn khá là nhiệt tình
True,100,"khách_sạn sạch_sẽ, ăn sáng ổn, mọi thứ đều ok. Lễ tân chưa niềm nở lắm."
True,102,"quá ồn ào , mặc dù đã đặt phòng trước nhưng khi đến vẫn hết phòng phải chuyển sang khách_sạn khác"
True,108,"khách_sạn khá ổn so với mức giá, vị trí thuận tiện đi lại có điều nhân_viên lễ tân không được thoải mái cho lắm"
True,113,"khách_sạn sạch_sẽ, nhân_viên lịch sự chu đáo. Đi ra biển gần chỉ tiếc là chỗ đó không tắm được mà phải đi lên một đoạn nữa. Đồ ăn tạm ổn nhưng phòng ăn hơi nhỏ. Nói chung là khá ổn!"
True,119,"dịch_vụ rất tốt. Gia đình tôi đã từng ở đây rồi, mọi việc vẫn hài lòng"
True,121,nhân_viên cực kỳ hữu ích. Lựa chọn buffet tốt. Vị trí thuận tiện.
True,122,Bảo vệ rất khó chịu. Phòng cách ly kém nên rất ồn. Phòng sạch. Lễ tân dễ thương.
True,125,Mình hài lòng về chuyến đi và cũng không có phàn nàn gì cả. tất cả các dịch_vụ mình đều hài lòng. nhân_viên khách_sạn cũng như ivivu quan tâm và chu đáo.
True,134,"Không gian, cây xanh tuyệt vời. nhân_viên dễ thương nhưng thức ăn sáng không được phong phú."
True,136,Thái độ của lễ tân không tốt. Wifi rất yếu dường như không xài được. Phòng khung_cảnh biển cũng chỉ nhìn được biển lấp ló qua mấy toà nhà.
True,142,"Không gian tiện nghi, phòng ốc sạch_sẽ"
True,144,"nhân_viên ivivu nhẹ nhàng, nhiệt tình. khách_sạn đẹp chất lượng, ăn ngon, không gian đẹp. "
True,150,"Tôi khá hài lòng khi ở đây, phòng ốc đẹp và vị trí khách_sạn cũng đẹp nữa chỉ có 1 điều là thang máy của khách_sạn có hơi chậm, nhưng mà cũng không sao cả. nhân_viên ivivu đã hỗ trợ tôi rất nhiệt tình."
True,151,"sạch_sẽ, an uong tot , ở biệt_thự hơi bất tiện việc di chuyen"
True,153,"khách_sạn rất đẹp,bãi biển dài, hồ bơi rộng. Phòng thoáng, sạch_sẽ. Buffet sáng ngon, nhiều món lành mạnh. Tuy nhiên phí ăn sáng cho bé 2t trở lên 325k là khá cao"
True,156,"khách_sạn sạch_sẽ, phòng ốc ok, hài lòng về khách_sạn. ivivu thanh toán tiện_lợi, giá rẻ hơn so với các bên khác, nhân_viên tư vấn nhiệt tình, liên hệ lại check phòng nhanh."
True,167,mọi thứ tuyệt vời.
True,170,"Chất lượng phòng ốc Victoria Phan Thiết rất tốt, bãi biển vẫn tắm được, không xấu như một số thông tin tôi nghe được, tôi hoàn toàn hài lòng khi ở đây. "
True,171,"khu_nghỉ_mát ở tôi thấy ok, nhân_viên chu đáo."
