Sanitary,Index,Comment
True,4,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,11,"Phòng có mùi ẩm, khó chịu khi nhận_phòng, nhà_vệ_sinh không đúng chuẩn 3 sao. Đồ ăn sáng không ngon và không đa dạng. Giường nệm và grap nệm không được sạch"
True,13,khách_sạn mới xây nên bên ngoài đang làm công trình hơi dơ bụi
True,17,"Phòng ốc rất ok so với giá nhưng nhà vệ sinh khá ồn bật điện lên là nghe tiếng máy hút gió vù vù cực to ,đi ra biển cũng gần , lễ tân cũng dễ thương nhưng mà 1 điểm xấu nhỏ là mấy cô lao công nói chuyện quá to,vì phòng không cách âm nên ở trong nghe bên ngoài nói rất rõ,khách đang ngủ thì mấy cô lao công gõ cửa dọn phòng nên mình thấy khá bất tiện và hơi khó chịu, khách_sạn khắc phục mấy chuyện lao công nói chuyện to và dọn phòng khi khách chưa có nhu cầu là ok nhé"
True,19,"Tôi cảm thấy rất hài lòng về khu nghỉ dưỡng này . Mọi thứ ở khu_nghỉ_mát đều rất thoải mái , khung cảnh rất đẹp và yên tĩnh ."
True,20,"Oceanami biệt_thự Có vị trí thuận tiện, khuôn viên đẹp, ăn sáng tạm được...Tuy nhiên có điểm trừ là biệt_thự có bếp mà không cho sử dụng, bộ phận nhận_phòng quá tải vào ngày cuối tuần..."
True,26,"Chuyến đi rất tốt, tôi rất hài lòng về khách_sạn, mọi thứ tuyệt vời. nhân_viên ivivu làm việc rất chu đáo và tận tâm, cảm ơn ivivu đã hỗ trợ rất nhiệt tình cho chuyến đi của tôi."
True,32,Tốt. Không có gì phàn nàn
True,36,"Phòng đẹp và rộng rãi, sạch_sẽ. phục_vụ chu đáo. Nhưng phòng tôi ở sát với công trình nên hơi ồn và bụi. Nhưng nhìn chung tôi và gia đình vẫn thích chuyến đi. Sau khi sử dụng dịch_vụ về cảm thấy yên tâm về dịch_vụ của ivivu và sẽ tiếp tục liên hệ cho những chuyến đi kế"
True,38,"Bãi biển có bể bơi nước ấm vào mùa đông nên nhà mình rất thích. Đồ ăn sáng đa dạng, trong đó có phở bò rất ngon. Phòng đẹp, nhân_viên phục_vụ niềm nở, nhiệt tình. Tuy nhiên, do phòng tắm rộng nên vách kính trong buồng tắm nếu có thêm cánh cửa thì sẽ ấm hơn vào mùa đông. khung_cảnh thì bình thường do xung quanh vẫn đang xây dựng dở dang. Ở bên này thì qua khu bãi cháy chơi hơi bất tiện 1 tẹo. Nhà mình ngày 2 lần vòng vèo qua cầu bãi cháy để đi ăn uống, cà phê."
True,43,"Chất lượng khách_sạn tốt. Gia đình tôi hài lòng, đã có chuyến đi vui vẻ"
True,46,"Buffet sáng quá ít món 
Khuôn viên nhiều công trùng 
Bãi biển còn nhiều vỏ sò ốc
Cảnh quan đẹp nhân_viên phục_vụ OK 
Nhà hàng ăn trưa tối nấu ăn ngon"
True,52,tuyệt vời
True,53,"Phòng cách âm tệ, quá ồn không nghỉ ngơi được, từ hành lang vào phòng hôi mùi cống bốc lên, không có nhân_viên hỗ trợ mang hành lý đến phòng mà khách phải lội bộ 1 lầu để sách đồ lên. Khăn tắm và giường gối hôi mùi mồ hôi kinh khủng không thể nào chấp nhận được."
True,62,Mọi thứ tôi thấy hầu  như đều tốt. Chuyến đi thật sự thoải mái và hài lòng
True,64,khách_sạn mới...mọi thứ ổn.hồ bơi đẹp...
True,66,"khách_sạn sạch_sẽ, nhân_viên dễ thương, vị trí trung tâm rất tiện cho việc đi chơi. Sẽ còn quay lại đặt phòng."
True,67,"Rất ấn tượng,  sẽ sử dụng thường xuyên và giới thiệu bạn bè sp này "
True,68,Mọi thứ điều ok. Đủ để cho ai thích ở lâu ngày đấy.❤️❤️
True,70,Tuyệt vời nếu có lần sau nhất định quay lại.
