Service,Index,Comment
True,4,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,8,"Không có xe đưa đón sân bay. Khu nghỉ dưỡng ở mức ổn, không có gì đặc sắc lắm"
True,11,"Phòng có mùi ẩm, khó chịu khi nhận_phòng, nhà_vệ_sinh không đúng chuẩn 3 sao. Đồ ăn sáng không ngon và không đa dạng. Giường nệm và grap nệm không được sạch"
True,19,"Tôi cảm thấy rất hài lòng về khu nghỉ dưỡng này . Mọi thứ ở khu_nghỉ_mát đều rất thoải mái , khung cảnh rất đẹp và yên tĩnh ."
True,20,"Oceanami biệt_thự Có vị trí thuận tiện, khuôn viên đẹp, ăn sáng tạm được...Tuy nhiên có điểm trừ là biệt_thự có bếp mà không cho sử dụng, bộ phận nhận_phòng quá tải vào ngày cuối tuần..."
True,27,"Rất tốt, chuyến đi gia đình tôi rất hài lòng. Cảm ơn ivivu, hy vọng sẽ có dịp cùng hợp tác với công ty"
True,29,Khi Tôi đi Tôi có phát sinh 2 bé dưới 5 tuổi và Tôi đã phải thanh toán thêm tiền 1 bé. Tôi cảm thấy rất không hợp lý với chính sách đó trong khi Tôi ở biệt_thự 3 phòng ngủ. Các khách_sạn khác Tôi ở đâu có phụ thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi.Chắc chắn Tôi sẽ không quay lại. Bên ivivu Tôi vẫn rất hài lòng
True,32,Tốt. Không có gì phàn nàn
True,41,"Phòng sạch_sẽ, tinh tế từ những chi tiết nhỏ. dịch_vụ tốt và có hidden bar ngay dưới hầm. Từ khách_sạn đi vài bước là ra hồ Gươm và tiện_ích xung quanh có đủ. Một nơi xứng đáng để quay lại nhiều lần."
True,43,"Chất lượng khách_sạn tốt. Gia đình tôi hài lòng, đã có chuyến đi vui vẻ"
True,48,"Phòng giống hình, ăn sáng ít món."
True,52,tuyệt vời
True,62,Mọi thứ tôi thấy hầu  như đều tốt. Chuyến đi thật sự thoải mái và hài lòng
True,64,khách_sạn mới...mọi thứ ổn.hồ bơi đẹp...
True,65,"Mọi thứ đều tuyệt, trừ sàn nhà hơi dơ và thang máy hơi sợ"
True,67,"Rất ấn tượng,  sẽ sử dụng thường xuyên và giới thiệu bạn bè sp này "
True,68,Mọi thứ điều ok. Đủ để cho ai thích ở lâu ngày đấy.❤️❤️
