reviewerName,Address,NameHotel,overallScore,reviewText
Nguyen P. T. N. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,10.0,"khách sạn dịch vụ tốt, nhân viên dễ thương, thức ăn ngon, nói chung ok ❤️"
Nguyen T. T. P. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,8.5,"Phòng rộng, sạch. Nhân viên thân thiện, nhiệt tình"
Thi T. H. T. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,8.8,"Đặt cho bạn nước ngoài, phản hồi OK"
Dang H. T. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,10.0,Đặt cho bạn nước ngoài. Phản hồi ok
Nguyen T. M. V. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.7,"Lúc đặt cũng không ngờ phòng rộng vậy luôn, sạch nữa. Chăn giường cũng thơm không bị ầm hôi như mấy khách sạn khác Mình check in và out đúng giờ nên không có gì than phiền Có điều điều hoà lúc lạnh lúc nóng mặc dù nhiệt độ 16 độ? Bữa sáng tạm ổn"
Lai V. T. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,6.1,Phòng 709 cách âm cực kì tệ :)
Luong T. T. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.7,Tôi cảm thấy khá ok. Nhân viên phục vụ nhiệt tình thân thiện
Vu K. O. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.7,Khách sạn rất đẹp phục vụ nhiệt tình có ăn uống tận nơi nên rất tiện lợi và sạch sẽ gia đình nghỉ ngơi là rất tuyệt vời
Hong P. N. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,6.7,Nhân viên lễ tân tiếp nhận yêu cầu giúp đỡ từ mình nhưng chậm phản hồi và hỗ trợ
Park I. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,8.5,Phòng rộng rãi thoải mái sạch sẽ
Nguyen T. H. T. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.7,Rất hài lòng. Đúng chuẩn khách sạn VIP
Hoang N. P. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.4,"Sau vài lần phản ánh về thái độ của lễ tay thì lần sau này tôi thấy đã có nhìu cải thiện. Lễ tân mới thấy đã niềm nở với khách hơn. Tôi cũng đã đọc qua nhìu đánh giá trước đó thấy quá bức xúc với cách làm việc và thái độ của quản lý cũng như lễ tân, không hề có tí thiện cảm nào. Nên tôi mong khách sạn có sự sắp xếp nhân sự đúng đắn hơn để mang lại 1 trải nghiệm tốt nhất cho khách hành. khách sạn 5 sao thì không nên có những nhân sự cau có khó chịu được."
Chau M. N. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,6.6,"Dịch vụ phòng quá tệ, chỉ trải lại ga giường sơ xài"
Nguyen T. N. Q. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,10.0,Hài lòng với kỳ nghỉ tại MTLSG. Buffet sáng thức ăn không phong phú lắm.
Phan H. N. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,6.6,"Tôi đã từng ở đây, nhưng lần này tôi xin được nhận cái phòng dạng lần trước tôi ở cùng trục lầu nhưng anh tiếp tân (kiểu lớn nhất chắc quản lý các bạn lễ tân ở đó hay sao) chỉ cười nhẹ bảo rằng giờ anh muốn cũng không được rồi đưa cho tôi 1 phòng khác trục lầu đấy. Tôi bảo tôi đã ở đây nhìu lần và các lần trước đều được cho ở phòng giống vậy chỉ khác lầu tại sao hôm nay lại không trong khi tôi vẫn đặt hạng phòng loại đó. Anh ta lại bảo không được và cái kiểu rất hách dịch. Còn check out thì 12h xuống trả phòng mang thẻ xuống trả không 1 lễ tân nào thèm tiếp. Phải nói 2 3 lần là em ơi anh trả phòng thì mới chịu làm thủ tục. Không 1 nụ cười, mặt lúc nào cũng khó chịu và check out 15 phút chưa xong bắt ngồi chờ lâu thiệt lâu trong khi khách cũng không có đông. Bộ mặt khách sạn 5 sao mà toàn thứ gì làm lễ tân, trải nghiệm thật sự tệ hại. Nếu có 0 sao tôi cũng cho 0 sao. Phòng ốc ăn sáng các thứ đều ok ngoại trừ lễ tân làm việc thấy rất khó ưa."
