reviewerName,Address,NameHotel,overallScore,reviewText
Linh N. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,6.3,"Có vết ố vàng trong phòng tắm, đồ đạc còn bụi, điện thoại bàn hỏng không thể gọi, ga giường không sạch"
Nguyen N. L. P. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,5.8,"Lễ tân khách sạn đón tiếp không nhiệt tình, cũng không hề cung cấp cho Khách hàng những thông tin cơ bản như nhà hàng ăn sáng....Y/cầu KH phải nộp thêm 1 triệu(tiền phòng khách sạn đã Thanh toán trước) để TẠM ỨNG phí sử dụng các dịch vụ. Bồn toilet cũng chưa sạch sẽ, còn vết bẩn.Mình đã ở đây lần thứ 3, nhưng đúng là lần này hoàn toàn thất vọng!"
Thi T. L. N. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,6.6,"Đã đọc trước review chuẩn bị tinh thần mà vẫn không nghĩ lại tệ tới mức vậy. Bỏ tiền ra vào resort 5 sao ở mà 2h30 mới tới check in mà xếp hàng dài chờ hơn 30p, Thủ tục rườm rà. Nhân viên không đủ để hỗ trợ khách.Làm xong tự xách vali lên phòng, không được hướng dẫn đường đi hay có nhân viên đưa đồ lên giúp. Phòng đầu bên kia đi từ bên này rồi vòng sang mệt nghỉ. Ở xa trung tâm nhưng xe điện không hỗ trợ đi ra ngoài. Nhân viên từ lễ tân tới bảo vệ sảnh đều không thân thiện. Tuy chỉ ở có 1 ngày nhưng cảm thấy dvu chưa tương xứng với 5 sao. không có ý định quay lại 🙂"
Thi T. H. D. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.5,Nc cũng tạm. Nhưng để gọi là 5 sao thì chưa đên Buffet sáng không ngon
Hoa L. P. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.4,"Phòng rộng rãi nội thất đẹp, sạch sẽ, mình đặt phòng view sân golf cũng ổn, chứ mà view vịnh thì best luôn đó. Nhưng có 1 cái là điều hòa không phải tiếng anh không biết chỉnh, cứ để 1 lúc lại tụt nhiệt độ xuống, đêm đang ngủ lạnh rét run huhu. Còn lại ok nhé. Đồ ăn sáng tạm được, nhiều món. Dưới sảnh tầng 1 có phòng vui chơi cho em bé, nhà mình có em bé trong lúc chờ nhận phòng thì cho bé vào chơi bé cũng thích lắm."
Dao T. H. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,6.6,"Phòng đẹp, view đẹp, không khí thoáng đãng, cảnh quan đẹp, bánh piza ngon. Bể bơi to nhưng chỉ có 1 bể ngoài trời không đủ cho khách bơi. Ăn trưa kèm theo 450k nhưng hải sản sơ sài, không có nước uống. Đoàn nào cũng mua thêm đồ uống. Giá 55k/ 1 lon panta không hợp lý."
Bui N. D. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.5,"Khách sạn sạch sẽ, tầm nhìn đẹp, bể bơi tuyệt vời."
Giang H. V. C. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.1,"Nên trải nghiệm vì quá tuyệt vời có điều kiện tôi vẫn muốn đến đây lần nữa, phòng ốc đúng chuẩn 5 sao, nhà hàng ăn tuy giá hơi cao, nhưng chỉ so với hàng quán bình thường thôi, với nhà hàng thì cũng không mắc lắm. còn lại dịch vụ thì tốt rồi"
Hang H. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.4,"khách sạn rộng rãi, đẹp, bể bơi trong nhà ngoài trời đều tuyệt vời! Ăn sáng ngon! Sức chứa lớn nên lúc checkin out, ăn sáng, bơi khá đông. khách sạn hơi xa biển, phải đi ô tô để ra biển Bãi Cháy."
Phan K. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,6.4,"Phòng xấu, connecting door, đông khách đoàn, ồn ào. Ăn sáng dở."
Dang L. H. N. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.1,"Phòng rộng đẹp, ban công quá bé. Khuôn viên sảnh sau khách sạn nên bố trí thêm nhiều thùng rác."
Nguyen T. H. H. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.4,"Phòng rộng, thoáng mát, view nhìn ra vịnh. Vị trí khá xa trung tâm."
Nguyen T. T. M. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.8,"Bãi biển có bể bơi nước ấm vào mùa đông nên nhà mình rất thích. Đồ ăn sáng đa dạng, trong đó có phở bò rất ngon. Phòng đẹp, nhân viên phục vụ niềm nở, nhiệt tình. Tuy nhiên, do phòng tắm rộng nên vách kính trong buồng tắm nếu có thêm cánh cửa thì sẽ ấm hơn vào mùa đông. View thì bình thường do xung quanh vẫn đang xây dựng dở dang. Ở bên này thì qua khu bãi cháy chơi hơi bất tiện 1 tẹo. Nhà mình ngày 2 lần vòng vèo qua cầu bãi cháy để đi ăn uống, cà phê."
Le A. V. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.8,"phòng rộng rãi và thoải mái, dịch vụ khá ok"
Dang T. U. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,10.0,Đi nhiều lần vẫn chỉ thich FLC 
Da N. B. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.7,"Địa điểm đẹp mà mát thoáng, bay view tuyệt đỉnh. Em bé rất thích bơi, nước ấm không sợ lạnh,nếu có thể sử dụng bể bơi trong nhà ❤️"
Thi T. T. ,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,9.1,"Trên cả tuyệt vời, cái gì cũng rất ok khi lưu trú tại đây"
