reviewerName,Address,NameHotel,overallScore,reviewText
Cao H. A. ,Hội An,Anio Boutique Hotel Hoi An,8.5,"Nhân viên rất tận tình, đồ ăn sáng ngon, khách sạn đẹp và thơm tho"
Phuong A. N. ,Hội An,Anio Boutique Hotel Hoi An,9.7,"Bể bơi view đẹp, phòng đẹp sạch sẽ giống hình, nhân viên thân thiện nhiệt tình. Cũng khá gần phố cổ và có thể mượn xe đạp miễn phí ở khách sạn. Highly recommend cho mng nha"
An T. C. V. ,Hội An,Anio Boutique Hotel Hoi An,9.7,Mọi thứ đều ok nhân viên khách sạn hỗ trợ nhiệt tình khi phọng mình ở bị nóng
Thi T. T. N. ,Hội An,Anio Boutique Hotel Hoi An,8.5,Nhân viên thân thiện. Đã up hạng phòng cho gia đình mình miễn phí và tặng luôn phí taxi từ khách sạn về lại Đà Nẵng cho mình. Chuyến đi mình gặp mưa nên chưa thể trải nghiệm hết những dịch vụ của khách sạn. Hẹn Anio vào một dịp khác
Pham T. M. L. ,Hội An,Anio Boutique Hotel Hoi An,8.5,Phòng đẹp nhưng đi đúng hôm mưa không đi được đâu cả
Nguyen L. C. ,Hội An,Anio Boutique Hotel Hoi An,10.0,"Đây là trải nghiệm tuyệt vời với tôi và bạn bè, phục vụ chu đáo, khách sạn đẹp, tuyệt nhất là bể bơi. Nếu đến Hội An nhất định sẽ quay lại ❤️"
Van T. N. ,Hội An,Anio Boutique Hotel Hoi An,8.8,"decor phòng thì đẹp , tuy nhiên phòng và hành lang hơi nhỏ và bí, bị mùi thức ăn , buffet sáng ổn"
Pham T. L. H. ,Hội An,Anio Boutique Hotel Hoi An,8.5,Hài lòng với dịch vụ và nhân viên tại đây. Gia đình tôi đã có 1 kì nghỉ tuyệt vời
Hoang K. ,Hội An,Anio Boutique Hotel Hoi An,9.7,"Đêm bảy ngày ba, hotel phục vụ nhiệt tình, sang chảnh"
Nguyen K. T. ,Hội An,Anio Boutique Hotel Hoi An,8.5,Tôi có kì nghĩ tuyệt vời ở đây
Tran H. N. P. ,Hội An,Anio Boutique Hotel Hoi An,9.7,"Khách sạn mới, sạch sẽ, phòng rộng và đẹp"
Thi T. H. L. ,Hội An,Anio Boutique Hotel Hoi An,10.0,"Khách sạn mới, siêu sạch, view siêu ngầu gam màu siêu quý tộc, staff thì cực kì cực kì friendly & helpful ❤️ quá tuyệt cho một kì nghỉ"
Luu T. N. N. ,Hội An,Anio Boutique Hotel Hoi An,10.0,Amazing. Tôi đã có kỉ niệm tuyệt vời. Nhân vên cực thân thiện. Sẽ còn quay lại
Trinh T. T. T. ,Hội An,Anio Boutique Hotel Hoi An,10.0,"Dịch vụ tốt. Có bánh và nước ép chào đón. nhân viên tận tình, hồ bơi đẹp. Đồ ăn sáng ngon."
Kim B. ,Hội An,Anio Boutique Hotel Hoi An,9.0,"Khách sạn tốt. Tuy nhiên nếu phòng tắm có bồn tắm thì sẽ rất hoàn hảo so với tiêu chuẩn 4 sao. Bữa sáng tự chọn khá đơn giản, nạp từ từ từng chút một thậm chí với trái cây rất rẻ, hầu hết đồ ăn được thương mại hóa, không phải khách sạn làm."
Ai L. N. ,Hội An,Anio Boutique Hotel Hoi An,9.7,"Chúng tôi đã có những trải nghiệm tốt ở đây. Nói một cách cụ thể, dịch vụ rất tốt giống như những người thân thiện khiến chúng tôi cảm thấy thực sự thoải mái! Phòng thực sự sạch sẽ, thiết kế sang trọng, hồ bơi đẹp. Ngoài ra, rất gần bãi biển An Bàng và Phố cổ 🤩."
Linh C. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn đẹp, nhẹ nhàng, yên tĩnh, nhân viên rất thân thiện, có xe bus đưa ra phố cổ và biển An bàng!"
Dang X. H. L. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Lasenta luôn là lựa chọn đầu tiên cho điểm đến Phố Cổ Hội An của tôi. Cảm ơn vì các bạn vẫn luôn giữ vững dịch vụ. Không gian xanh mát, thoáng đãng, sạch sẽ, thân thiện. Việc giảm thải rác thải nhựa vảo vệ môi trường cũng thêm một điểm cộng cho Lasenta. Chúc các bạn luôn vững mạnh."
Thuong T. ,Hội An,Lasenta Boutique Hotel Hoian,8.5,Trừ mỗi việc khách sạn yêu cầu giữ CMND ra thì mình thấy các yếu tố khác OK lắm luôn
Le P. T. ,Hội An,Lasenta Boutique Hotel Hoian,8.5,"Khách sạn rất đẹp, xanh mát, chất lượng phục vụ tốt"
Thi H. Y. V. ,Hội An,Lasenta Boutique Hotel Hoian,6.4,"Đêm đầu họ xếp cho tôi phòng không giống trên hình, tôi không đồng ý nên đề nghị đổi nhưng vẫn phải ở đó đêm đầu với lý do phòng giống vậy đã có khách khác ở. khách sạn 4 sao nhưng khi đến không có welcome drink, đồ ăn sáng quá ít và giấy ăn trong phòng thì là loại chất lượng kém, có mùi mốc. Với giá tiền như vậy thì có rất nhiều lựa chọn khác tốt hơn nên tôi sẽ không trở lại."
Thi K. P. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn quá tuyệt vời, phòng sạch, WC rất rộng rãi, buffet sáng tuy ít món nhưng rất ngon"
Doan T. M. T. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn siêu xinh, hồ bơi tuy hơi nhỏ nhưng view đồng lúa chụp ảnh siêu ảo nha =))) Phòng ốc siêu rộng, tivi hơi nhỏ, có cả bồn tắm và chỗ tắm đứng. Về ăn sáng thì mình thấy không đa dạng. Vị trí khách sạn cách phố cổ không xa lắm. Mình có thể mượn xe đạp của khách sạn đạp ra phố cổ. Highly recommend mọi người chọn Lasenta! Có dịp quay lại Hội An mình vẫn sẽ ở đây "
Nguyen T. P. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Khách sạn đẹp, yên tĩnh. Nhân viên thân thiện, cẩn thận. Không gian rộng rãi thoải mái"
Nguyen T. H. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Tôi chưa bao giờ ở cái khách sạn nào mà tuyệt vời như cái khách sạn này từ dịch vụ đến phòng ốc. Anh chị nhân viên ở đây hỗ trợ chúng tôi rất nhiệt tình, nhất định khi quay lại Hội An tôi sẽ quay lại khách sạn này và sẽ giới thiệu cho bạn bè tôi về khách sạn này"
Thi Q. T. P. ,Hội An,Lasenta Boutique Hotel Hoian,6.0,"Phòng bụi, mùi khó chịu, chạm chân trên sàn bụi không là bụi"
Nguyen T. H. T. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Tôi có kỳ nghỉ ở Hội An ngoài mong đợi: vô tình săn được sale và chọn Lasenta, đúng gu của mình: màu xanh nhẹ, và trắng nhiều cây xanh . Vừa sang vừa gần gũi thiên và đậm chất VN. Phòng ốc rộng rãi, thoáng mát, sạch sẽ. Nhân viên dễ thương Đồ ăn tuy ít nhưng chất: nước hoa quả ép tươi, không phải đồ hộp Xe đạp đạp thích, nhẹ có ghế cho trẻ em Gần phố cổ nên ngày nào cũng đạp xe đèo bọn trẻ đi ăn, gần và nhanh, tối đi dạo phố cổ. Nếu quay lại Hội An mình sẽ chỉ chọn đây thôi"
Ms N. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Một địa điểm lưu trú tuyệt vời khi tới Hội An. 1. Phòng ốc sạch sẽ trang thiết bị tiện nghi, rộng rãi và thoáng. 2. Nhân viên trẻ, vui vẻ và rất nhiệt tình hỗ trợ khách. 3. Khách sạn trang bị chu đáo xe đạp, ghế ngồi trẻ em và hoàn toàn được miễn phí về dịch vụ này. 4. Ăn sáng không nhiều món nhưng rất ngon. Nếu như khách sạn có thêm 1 món nước như bún, phở... thì ok hơn vì nhà có đông trẻ em nhưng chỉ có 1 món cháo trắng."
Thuy D. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Tuy mình đi mùa dịch vắng khách nhà hàng spa không có nhưng cách phục vụ ở đây khiến mh có kì nghĩ trên cả tuyệt vời. Bạn lễ tân Vũ: vui vẻ, chuyên nghiệp, rất nhiệt tình. Bellman thì cực kì dễ thương. Nếu có quay lại Hội An nhất định tôi sẽ chọn ở đây mang cho tôi ấm cúng, thoải mái. View khách sạn không chê vào đâu dc."
Nguyen T. D. P. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,Lần thứ 2 mình trở lại Lasenta sau 3 năm và mọi thứ vẫn rất tuyệt vời.
Le N. H. T. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"phòng giống hình: rộng rãi, sạch sẽ, nhà tắm thiết kế riêng toilet và vòi tắm và khu vực đánh răng/ trang điểm. các vật dụng trong phòng xịn - không như một số khách sạn khác cung cấp cho có - đảm bảo sự thoải mái nhất cho khách ở."
Thi Q. P. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn gần trung tâm, yên tĩnh, hồ bơi sạch đẹp. chắc chắn sẽ quay lại"
Ngo T. Q. P. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Khách sạn đẹp, nhân viên thân thiện, nhiệt tình, buffet sáng thay đổi mỗi ngày, chắc chắn sẽ quay lại"
Ngoc H. T. ,Hội An,Lasenta Boutique Hotel Hoian,6.5,"Khách sạn có tiện nghi và vị trí đẹp tuy nhiên nhân viên lễ tân và check in không thận thiện, không hề có nụ cười lúc gặp khách và nhiều lần khách hỏi thông tin trả lời rất đơn giản không hề có thông tin chi tiết (ví dụ hỏi số điện thoại hãng taxi chỉ đọc ngay số mà không nói 1 câu nào về tên hãng tãi, đợi khách hỏi mới trả lời, quá tiếc cho 1 khách sạn có thiết kế đẹp nhưng thiếu tình cảm và niềm nở khi tiếp đón khách, xe điện đi phố cổ kết thúc lúc 7h quá sớm"
Pham M. T. L. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn mới, đẹp, hồ bơi view đồng lúa tuyệt đỉnh, mê ơi là mê, nhân viên thân thiện, nhiệt tình. Khách sạn ở gần phố cổ, cho mượn xe đạp miễn phí."
Huong G. D. ,Hội An,Lasenta Boutique Hotel Hoian,8.5,"Khách sạn rất xinh xắn, không gian đẹp, thoải mái, nhân viên ân cần chu đáo."
Hang N. ,Hội An,Lasenta Boutique Hotel Hoian,9.1,"Khách sạn sạch sẽ, view đẹp, nhân viên nhiệt tình dễ thương thích hợp đi du lịch gia đình"
Thi M. H. C. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"khách sạn cách phố cổ khoảng 1.5km. khách sạn cung cấp xe đạp miễn phí thế là nhà mình đạp xe tung tăng khắp nơi (biển An Bàng, biển Cửa Đại, phố cổ). khách sạn decor rất xinh, nhân viên dễ thương, ăn sáng ngon tuyệt. 10/10 nhé"
Thi B. T. T. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Rất tuyệt vời. Các bạn nhân viên thân thiện, chuyên nghiệp. Phòng ăn không ồn ào."
Thuy L. T. D. ,Hội An,Lasenta Boutique Hotel Hoian,9.4,"Khách sạn đẹp, có mùi thơm dễ chịu. Nhân viên thân thiện, dễ thương."
Thi B. T. T. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Khách sạn rất đẹp, phòng cực sạch, nhân viên rất chuyên nghiệp. Nếu hồ bơi mở lúc 6h thì quá tốt "
Khoa B. H. B. ,Hội An,Lasenta Boutique Hotel Hoian,9.1,"Hồ bơi view đẹp, không gian đẹp, ăn sáng hơi ít món nhưng khá ngon."
Huong H. ,Hội An,Lasenta Boutique Hotel Hoian,9.4,"phòng ốc rộng rãi, sạch sẽ. nhân viên nhẹ nhàng thân thiện. sẽ quay lại lần sau"
Thi L. C. N. ,Hội An,Lasenta Boutique Hotel Hoian,9.4,"Tôi hài lòng dịch vụ tại đây, buffet sáng tương đối đầy đủ các món căn bản đặc biệt có xe đưa rước miễn phí đi các điểm vui chơi miễn phí rất đúng giờ."
Tran N. V. A. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Thật sự Lasenta vô cùng tuyệt vời, nhân viên dễ thương thân thiện nhiệt tình và lịch sự. Phòng ở y chang hình, sạch sẽ và đầy đủ tất cả tiện nghi. Tôi vô cùng hài lòng với booking này. Có xe đưa đón Phố cổ, biển An Bàng. Thức ăn rất ngon. Chắc chắn mình sẽ quay lại đây ^_^"
Le T. D. H. ,Hội An,Lasenta Boutique Hotel Hoian,6.4,"Về khách sạn, giá tiền cao nhưng chưa đáp ứng như mong đợi: lúc check in các khách nước ngoài có nước welcome và khăn lạnh còn gia đình mình thì không có khăn, lúc ra ngoài gửi chìa khoá thì lễ tân không muốn cho gửi bảo anh chị có thể đem theo (đem theo lỡ mất thì charge 100 ngàn mà gửi lại không muốn nhận không hiểu nổi), hồ bơi nhỏ không ảo như trên hình, ăn sáng không phong phú so với số tiền bỏ ra, nhân viên buồng phòng thân thiện còn lại chưa thật sự thân thiện."
Thi A. T. T. ,Hội An,Lasenta Boutique Hotel Hoian,6.6,"Buffet không đa dạng, phòng bé, có muỗi"
