reviewerName,Address,NameHotel,overallScore,reviewText
Che Q. P. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,10.0,Tuyệt vời đủ nói lên tất cả về chuyến đi.
Dao T. C. T. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,9.7,"Điều đáng tiếc nhất là app không cis gói combo (Khách sạn, Khu vui chơi, 3 bữa ăn buffet) nên trọn gói của tôi tính ra đắt hơn rất nhiều nếu mua ở các tour du lịch bên ngoài. Nếu tương lai bên app có những goia tích hợp như vậy, tôi sẽ không do dự mà chọn app 😊"
Thi H. L. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,9.7,"Dịch vụ tốt, khách sạn sạch sẽ, không khí trong lành. Rất tốt"
Thien T. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,7.2,"View rất đẹp, tuy nhiên ở resort rất buồn, trò chơi khu vui chơi thì hạn chế bảo trì nhiều. Các bạn nhân viên nhiệt tình, phòng thì bình thường không có gì đặt biệt. Mình ăn tối bên đất liền bằng tàu cao tốc miễn phí 24/7 . Cảm ơn rất nhiều!"
Nguyen S. L. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,8.5,"Tôi có 1 kỳ nghỉ vui vẻ, thư giãn"
Thi N. T. L. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,6.0,Khách sạn phòng 4 triệu 3 1 đêm nhỏ xíu phòng xấu nội thất bình thường không có gì đặc biệt nếu không muốn nói là cũ. Từ đất liền ra đảo đợi 40p vô tới khách sạn nói phòng phát sinh đợi thêm 45p ngồi đợi nhân viên không ai nhìn tới. Lên tới phòng còn đang dọn dẹp đợi thêm 15p. Vô phòng không có khăn tắm đợi thêm 30p. Đem khăn lên vàng khè dơ. Không bao giờ quay lại thất vọng không đáng tiền. Nhân viên phục vụ ổn
Dang M. H. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,6.1,"Vị trí tốt, vòi sen trong bồn tắm hỏng, điều hoà trục trặc, trải giường rách vẫn dùng cho khách, nước uống free thiếu khi khách hỏi mới đưa lên, phòng cũ xuống cấp"
Vu T. T. N. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,5.9,"Mình đặt deluxe queen bed, hình ảnh trên web là ocean view, trên web không có chi tiết phòng view gì và mình sợ nhầm lẫn nên có note lại là ocean view nhưng khi nhận phòng là mountain view lễ tân nói nếu upgrade mình phải trả thêm phí và phải chờ thêm khoảng 2h để chuẩn bị phòng trong khi mình đã chờ gần 2h để check in quá mệt. thêm nữa cũng không ghi chú có bao gồm khu vui chơi hay không làm mình chắc chắn đã bao gồm khi đến thì phải trả thêm phí rất khó chịu và bất tiện. Nếu không bao gồm các bạn nên note rõ để khách hàng biết để mua loại phòng khác chứ không phải đến nơi rồi mới biết không bao gồm. "
Dinh H. H. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,6.0,Phong khách sạn hướng núi dẫn đến ko ngắm đươc cảnh biển. Tôi cảm thấy ko thoải mái với vị trí phòng.
Nguyen N. A. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,8.5,"Tuyệt vời và thật sự hạnh phúc khi ở đây
"
