reviewerName,Address,NameHotel,overallScore,reviewText
Le V. N. ,Phan Thiết,Azerai Ke Ga Bay,9.3,"Nhân viên rất nhiệt tình chu đáo, chuẩn bị bánh kem và hoa , trang trí phòng hoàn toàn miễn phí khi biết đây là ngày sinh nhật của vợ tôi. Bữa sáng rất ngon. Resort ở hơi xa Phan thiết, nếu có thể bố trí xe với giá hợp lý cho khách (không đi xe riêng) đi phan thiết rồi về thì thật tuyệt vời."
Giang G. ,Phan Thiết,Azerai Ke Ga Bay,10.0,"phòng sạch đẹp, nhân viên thân thiện, thức ăn ngon."
Nguyen H. P. ,Phan Thiết,Azerai Ke Ga Bay,9.4,"Rất phù hợp với nghỉ dưỡng, mình cảm thấy rất hài lòng với dịch vụ. Phòng rộng rãi, thích nhất là hồ bơi tuyệt vời ! Nhưng vì phòng rộng nên hơi sợ ma hehe"
Huy H. ,Phan Thiết,Azerai Ke Ga Bay,6.0,"phụ thu quá cao, phòng quy định có 2 người, 2 vợ chồng đi cùng 2 con nhỏ 7 tuoi và 9 tuoi phụ thu bằng thuê 2 phòng, sẽ không quay lại chỗ này nữa, ăn sáng ngồi gọi món chứ không có buffet"
Thi T. ,Phan Thiết,Azerai Ke Ga Bay,4.8,"Resort 5 sao nhưng chất lượng tầm khoảng 3 sao:
1. Resort nên có xe riêng đưa đón khách từ Phan Thiết vào Resort (ko đi xe chung với khách rước dọc đường, giống như xe bus)
2. Khi bước xuống xe có người phục vụ nhưng chỉ dắt vô sảnh, ko xách hàng lý giùm khách 
3. Lễ tân nên hỏi khách có muốn giới thiệu sơ qua về resort và các tiên ích, ưu đãi khi ở loại phòng này? Đằng này, khách tự động hỏi và nhân viên miễng cưỡng trả lời
4. Mình ở phòng Princess nhưng khi nhận phòng sàn nhà nhám, bồn tắm ngoài trời rất bụi
"
Vu T. D. ,Phan Thiết,Azerai Ke Ga Bay,9.4,"Phòng villa rộng, thích hợp nghỉ dưỡng, hồ bơi đẹp! Gần biển. Tuy nhiên, đồ ăn sáng hơi ít món, có lẽ do ít khách!"
Nguyen T. L. ,Phan Thiết,Azerai Ke Ga Bay,6.0,"Nhan vien phuc vu khong duoc chuyen nghiep va than thien cho lam, đặc biet la nhan vien nha hang. 
Chung toi co gọi do an den phong cho bua trua, chung toi dung bua o ngoai ban cong, va den sang hom sau cung chang ai don dep may chén dĩa nay di.
Phong oc cung cũ di nhieu, that vong nhat la may cai gối nhìn that sến va dơ.
Noi chung nếu ai da tung den An Nam truoc day deu co the nhan thay cung cách cua An Nam hien tai khong duoc nhu truoc."
Ho T. V. ,Phan Thiết,Azerai Ke Ga Bay,9.7,"Lần thứ 3 đến Princess D'An Nam Resort & Spa trong năm 2017 này, cảm giác và mọi thứ đúng như mình mong đợi. Thật tuyệt vời. Từ nhân viên đến đồ ăn và khung cảnh vẫn đẹp, vẫn dễ thương như lần đầu. Đồ ăn ngon, nhân viên thân thiệt. Cảnh vật, hồ bơi tại đây mọi góc đều đẹp. Chắc chắn mình sẽ lại đến đây 1 lần nữa. Cám ơn đội ngũ nhân viên resort đã cho mình 1 kỳ nghỉ gia đình tuyệt vời, thư giãn, thoải mái."
Bich N. H. ,Phan Thiết,Azerai Ke Ga Bay,9.7,"Resort yên tĩnh, cảnh rất đẹp, phòng rộng sạch và đẹp, nhân viên vui vẻ nhiệt tình thân thiện. Đồ ăn sáng ngon tuy hơi ít món Việt để lựa chọn. Giá cả đồ ăn tại nhà hàng hợp lý. Hồ bơi rất đẹp. Miễn phí xông hơi thật tuyệt. Không gian spa và khu vực xông hơi rất đẹp. Cám ơn resort và nhân viên đã giúp mình có kỳ nghỉ thật tuyệt vời cùng gia đình."
Vo T. H. H. ,Phan Thiết,Azerai Ke Ga Bay,8.5,"Dich vu rat tot. Nua dem gia dinh toi muon ra private pool choi nhung vi uot san nen nho den service va cac ban den rat nhanh, vui ve."
Nguyen T. T. ,Phan Thiết,Azerai Ke Ga Bay,9.7,"Nhân viên, dịch vụ rất hài lòng."
Ngoc D. L. ,Phan Thiết,Azerai Ke Ga Bay,9.7,Bãi biển quá nhiều rác nên cải thiện việc này
