reviewerName,Address,NameHotel,overallScore,reviewText
Linh P. ,Phú Quốc,VinOasis Phu Quoc,6.4,Check in lâu. Book phòng 1 giường lại cho phòng 2 giường. Gọi hỏi thì báo để cho ghép giường lại. Trong khi trong booking để là phòng 1 giường. Một hồi lâu mới đổi phòng cho làm mất rất nhìu thời gian
Huong G. H. ,Phú Quốc,VinOasis Phu Quoc,8.5,"Khách san đẹp sạch sẽ ,nhân viên nhiệt tình thân thiện ."
Phuong N. N. ,Phú Quốc,VinOasis Phu Quoc,8.8,"Nhân viên thân thiện. Chăn ga trong phòng hơi cũ, vệ sinh chưa sạch bồn tắm nhưng nói chung vẫn chấp nhận đc."
Ngoc T. V. N. ,Phú Quốc,VinOasis Phu Quoc,9.7,"Resort đẹp xịn , chỉ không có xe bus ra trung tâm chợ đêm. Món ăn được nhưng có bé nhỏ sẽ khó."
Thi H. N. T. ,Phú Quốc,VinOasis Phu Quoc,6.7,"Khi book phòng trên phần thêm yêu cầu mình có điền là trả phòng trễ lúc 14h, ngày trả phòng lúc 10h minh co điện thoại hỏi nhân viên là yêu cầu đó có được không, nhân viên nói là để báo lại, và rồi mình không nhận được cuộc gọi nào, được hay không thì phải nói 1 lời. Buffet sáng bình thường không có gì đặc biệt. À còn chuyện này nữa, nói là đưa đón sân bay, ra cổng đứng đợi 1 lúc lâu để đợi các khách khác, ở những chuyến bay khác, cũng tầm 20-30’ nha"
Le N. T. ,Phú Quốc,VinOasis Phu Quoc,6.3,Có đăng ký xe đưa rước sân bay mà khách sạn không thông báo giờ đi. Làm trễ chuyến phải đi taxi ngoài
Pham M. D. T. ,Phú Quốc,VinOasis Phu Quoc,5.4,"Check-in rất lâu, giữ giấy tờ nói ngồi đợi rồi sẽ ra hướng dẫn, tuy nhiên check-in mất hơn 30p dù lúc mình đi chỉ có vài khách. Mình đến sớm nên có báo sẽ đi Safari, khi nào có phòng thì gọi điện để mình về nhận phòng, tuy nhiên nhân viên cũng không hề gọi. Khuôn viên rất rộng, đi bộ từ sảnh Lobby sang sảnh B mất gần 20p, mình đi với người lớn tuổi, không đi bộ được nhiều, nhưng hỏi hỗ trợ thì không có xe điện đưa đi. Từ khách sạn ra bãi biển chắc 500m mà cũng không có xe điện. Nói chung toàn bộ trong khu Vinoasis muốn đi phải tự đi bộ, không có xe điện. Từ Vinoasis- Grand World có xe bus đưa sang bãi xe, rồi từ bãi xe bắt thêm 1 chiếc xe điện (miễn phí của vin) để đi tiếp. Vì bất tiện là có người lớn tuổi đi cùng nên mình đặt xe điện từ grand world sang đón, vin lại không cho xe chạy vào sảnh mà phải đứng ngoài và phải đi bộ ra. buổi tối mình sang khu grand world chơi, lúc về trời mưa to, mình có gọi hỏi thông cảm cho xe điện vào sảnh được không, bên vin kêu đợi hỏi các bên liên quan hết đâu gần 10p, nhân viên gọi lại nói không được và phải đi bộ vào khach san, mình nói mưa và có người lớn tuổi nên hỗ trợ khách hàng, cuối cùng trả lời: Nếu còn mưa to thì vào được, mà mưa nhỏ thì chịu khó đi bộ. Quầy bar trong phòng không có nước ngọt, bia, bánh. Hồ bơi, bãi biển không trang bị khăn tắm cho khách. Muốn tắm phải mang khăn từ phòng xuống. Nhưng lại không để túi xách để khách mang đồ. Vị trí thuận tiện để đi Safari, Vinwonder và Grand World nhưng không phù hợp với người lớn tuổi, hỗ trợ khách hàng quá tệ và chậm trễ."
Nguyen T. M. L. ,Phú Quốc,VinOasis Phu Quoc,8.8,"Khách sạn VinOasis có dịch vụ đưa và đón khách tại Sân bay Phú Quốc rất tốt. Nhân viên lịch sự, nhã nhặn và thanh lịch. Tuy nhiên, thời gian check-in cho khách nhận phòng khá là chậm do tác phong và vận hành còn khá đơn giản, thiếu sự chuyên nghiệp. Cũng may là trong lúc khách lây lất chờ đợi được nhận phòng thì Khách sạn có cung cấp nước uống chào mừng được miễn phí. Phòng đẹp, sạch, yên tĩnh. Ăn sáng nấu ngon, món ăn phong phú cả Âu và Á nên rất phù hợp cho các loại khách. Không có dụng cụ cạo râu cung cấp sẵn trong phòng như các khách sạn bình thường khác. Nên cải thiện điều này"
Nguyen V. H. ,Phú Quốc,VinOasis Phu Quoc,9.0,"Khách sạn VinOasis rất mới, sạch và hiện đại. Tuy nhiên, thời gian mất khá nhiều thời gian check-in nhận phòng. Đã mất hơn 1 tiếng đồng hồ di chuyển từ Sân bay Phú Quốc về VinOasis (nằm ở cực bắc của Đảo Phú Quốc) mà còn ngồi chờ đợi thủ tục check-in lâu khiến khách càng mệt mỏi."
Nguyen T. H. T. ,Phú Quốc,VinOasis Phu Quoc,9.4,"Khách sạn cực kỳ sạch sẽ, hiện đại, bể bơi nước trong vắt, có xe đưa đón rất thuận tiện, buffe sáng khá ngon, nhân viên thân thiện, lễ phép! Điểm trừ: mình có em bé, đến từ rất sớm nhưng nhận phòng lại muộn (bạn mình đến sau lại được nhận phòng trước, không hiểu khách sạn ưu tiên thế nào!). Mình ở 2 ngày nhưng xe đẩy em bé luôn là không mượn được, mình chọn ở đây 1 phần vì có xe đẩy nên mình không mang theo vậy mà không có xe cho mượn, bế muốn gãy cái tay 🥲"
Thi T. H. D. ,Phú Quốc,VinOasis Phu Quoc,9.6,"Không gian sang trọng, nhân viên lịch sự nhiệt tình. Phòng ốc sạch sẽ. Các điểm tham quan đẹp. Chưa thích lắm là nước uống ở đây giá cao quá. Hihi chai nước suối 50k thì chua chát quá😂"
Le N. X. K. ,Phú Quốc,VinOasis Phu Quoc,9.4,"View đẹp phòng chất lượng , đặt phòng qua traveloka được giá quá tốt luôn"
Thi T. H. ,Phú Quốc,VinOasis Phu Quoc,9.4,"Phòng sạch sẽ, thiết kế đẹp. khách sạn chỉ hỗ trợ đưa đón sân bay theo khung giờ của khách sạn, nên khách đi không đúng khung giờ hỗ trợ khách sạn thu phí 200k hỗ trợ đưa khách ra sân bay."
Hue N. ,Phú Quốc,VinOasis Phu Quoc,8.5,"Đẹp tuyệt vời, dịch vụ tốt nhưng chi phí khá cao."
Hoang Y. N. L. ,Phú Quốc,VinOasis Phu Quoc,7.2,không đã mời free 1 tháng mới được 5 sao
Phuc P. ,Phú Quốc,VinOasis Phu Quoc,10.0,"Phòng ok, dịch vụ và đồ ăn ok. Gần và dễ di chuyển qua lại các khu của Vin."
Thi P. N. ,Phú Quốc,VinOasis Phu Quoc,9.7,Dịch vụ good nhưng noiix cái dịch vụ xe đưa đón ra khu vui chơi hơi lâu
Lien L. ,Phú Quốc,VinOasis Phu Quoc,8.8,"Phòng đúng như miêu tả, nhân viên nhiệt tình, đặc biệt là nếu đi vin safari và ươnder thì phù hợp vì có xe đưa đón và vào không giới hạn trong tgian lưu trú. Nhà mình rất hài lòng với trải nghiệm lần này khi tới vin. Nếu có lần sau vẫn chọn nơi đây tiếp"
Hai Y. C. ,Phú Quốc,VinOasis Phu Quoc,6.4,"Mọi chuyện đều ổn cho đến ngày cuối tôi đã thanh toán phí gia hạn thêm tới 9:00 pm tối ngày cuối mà khách sạn vẫn lock cửa và thông báo thẻ chỉ hoạt động đến 5:30 pm , lúc chuẩn bị check out tôi bỏ quên giấy tờ và không quay lại vào phòng được"
Phuoc T. L. ,Phú Quốc,VinOasis Phu Quoc,9.7,"Khách sạn đẹp, tiện nghi, nhân viên thân thiện, xe đưa đón sân bay. Có xe điện đưa đón qua VinWonder, Safari và grand world thuận tiện. Ví trí nằm khá xa sân bay và thị trấn Dương Đông. Khá hài lòng :)"
Thi B. V. N. ,Phú Quốc,VinOasis Phu Quoc,6.4,"1 khách sạn 5 sao lớn như vậy nhưng cách phục vụ quá chậm rãi và không chuyên nghiệp, các bạn lễ tân thao tác còn vụn giống như kiểu đang thực tập. không tư vấn kỹ cho khách tham quan hợp lí để tránh phiền phức và mất time của khách. Bên cạnh đó việc đưa đón sân bay làm tôi không hài lòng, và cả việc phục vụ nước uống cho khách (checkin thì được sử dụng còn checkout thì k? Thật sự không đáng nhưng làm như vậy không hay tí nào so với khách sạn 5 sao cả"
