reviewerName,Address,NameHotel,overallScore,reviewText
Subi S. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,6.0,"Check in phòng lâu, giấy tờ thủ tục nhận phòng làm khó khách hàng"
Ngoc T. P. N. N. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,10.0,"View đẹp, nhân viên thân thiện,"
Thi T. H. P. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,10.0,"Quá hài lòng. Gia đình mình đi vào thời điểm vắng khách, nhân viên hướng dẫn cực thân thiện - nhiệt tình. Đồ ăn ở NH Salsa khá ngon (nhất là buffet)"
Khac P. H. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,5.8,"Chỗ ở và bãi biển thì đẹp nhưng dịch vụ tệ so với giá tiền. Mỗi lần gọi xe điện mất 30 phút mới có xe. Khoảng cách từ villa ra sảnh chờ rất xa nếu đi bộ cũng tầm 2-3km. Buffet sáng ít đồ ăn. Thêm nữa FLC ở xa trung tâm thành phố (cách 20km) xung quanh thì heo hút, đường xá chưa phát triển nên rất bất tiện cho những ai muốn đi tham quan. Điểm cộng là gần eo gió và kỳ co."
Thi T. T. P. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,4.5,"Phòng ẩm mốc, bụi như 1 tháng không có ai ở qua. Mượn bàn ủi hay gì cũng dạ mà im re. Tiếp đón như khách sạn 1 sao, ăn uống thì quá bèo thua khách sạn bình dân, hết thức ăn không ai mang ra phục vụ ... mọi thứ phải chen chúc, chờ đợi. Đi lần đầu oklần thứ hai thì chia tay mãi mãi. Âm điểm"
Nguyen N. M. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,6.1,"- Ngay từ khi chưa đến khách sạn bạn mình gọi hỏi lại check cho chắc thì bảo chưa đặt phòng. - Đến lúc mình gọi lần nữa check thì nhân viên trực điện thoại trả lời thái độ không nhiệt tình, không chào hỏi gì tắt máy luôn. - Đồ ăn sáng order đến villa chỉ là sandwich, bánh mì nhưng gần 50p mới có (phải gọi giục 1 lần) và không nóng. - Khi hỏi nhân viên sảnh chỗ thuê xe đạp và gọi xe điện ra là tầm 7h, chưa mở cửa thì nhân viên sảnh không nói luôn lại để khách tốn thời gian ra đó mới biết chưa mở cửa? - Hỏi lại bảo 8h mở cửa thì quay ra đi bơi đến 8h hơn quay lại vẫn không có nhân viên ở đó - Đồ ăn sáng bình thường"
Trinh T. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,5.7,"Ăn sáng không ngon, nhân viên không biết nói cảm ơn. Mình cảm ơn mà họ chả nói gì. Mặt không tươi tienu"
Manh D. C. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,9.4,"Mặc dù xem review khá nhiều ý kiến trái chiều về thái độ của nhân viên phục vụ nhưng sau khi trải nghiệm 2 ngày ở FLC resort thì mình quá ư là hài lòng về service của resort. Theo mình đánh giá nhân viên rất thân thiện và nhiệt tình, phòng được dọn 2, 3 lần một ngày tạo cảm giác rất thoải mái vì những vật dụng luôn mới. Điểm trừ lớn nhất có lẽ là buffet sáng hơi ít món và ít đặc sắc. Nhìn tổng quan thì kì nghỉ ở FLC của mình quá là over expectation, cảm ơn FLC rất nhiều."
Bui H. T. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,9.4,Khách sạn rất đẹp và rộng. Nhân viên thân thiện dễ thương. Rất hài lòng về dịch vụ
Le T. M. C. ,Quy Nhơn,FLC Luxury Resort Quy Nhon,9.7,"Gia đình mình rất thích nghỉ dưỡng ở nơi này .cảnh đẹp phục vụ chu đáo nhân viên rất dễ thương, tuyệt vơi"
