reviewerName,Address,NameHotel,overallScore,reviewText
Thi N. Y. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Dịch vụ tuyệt vời, sẽ quay lại!"
Hoang H. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Mọi thứ đều ở đây tuyệt vời và chuyên nghiệp. Phòng sạch sẽ, không gian yên tĩnh, nhân viên thân thiện. Buffet sáng đa dạng, bàn ngồi ăn chuẩn nhà hàng. Đặc biệt là Nhà Hàng sát bờ biển: đồ ăn thật sự thật sự rất ngon. Quầy bar ở giữa hồ bơi thì đồ uống không ngon lắm."
Vinh H. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Một kỳ nghĩ tuyệt vời, tôi sẽ quay lại thời gian gần đây. Để tận hưởng không gian tuyệt vời này!"
Hoang K. Y. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Dịch vụ tốt, landscape được chăm sóc tốt, hồ bơi chung riêng đều sạch sẽ, nhân viên mọi nơi đều thân thiện, chuyên nghiệp."
Le H. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng sạch đẹp , dịch vụ tốt, resort đẹp xứng đáng với giá tiền"
Nguyen H. T. C. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.8,"Resort có vị trí tốt , nhưng phòng (309 ) ở có mùi ẩm làm trải nghiệm của cả nhà không được trọn vẹn. Hy vọng resort sẽ có nâng cấp để trải nghiệm của khách hàng tốt hơn cho lần tới của mình. Thanks."
Dang T. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,Một trong những resort tuyệt vời nhất mà gia đình chúng tôi từng trải nghiệm. Chắc chắn sẽ ghé lại lần sau.
Le T. T. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.8,"Mình đi lần 2 rồi và vẫn rất thích Melia. Resort có shuttle bus đưa đón từ TPHCM, các bạn ở Melia rất hỗ trợ để sắp xếp xe cho khách đi đúng giờ mong muốn. Săn được mã giảm giá ở app thì giá phòng bao gồm buffet, xe đưa đón là quá ok rồi, mọi người hãy thử để enjoy ngày nghỉ. Phòng sạch đẹp, thiết bị ok, buffet sáng ngon, đa dạng món, còn ăn tối ở nhà hàng Breeza còn có hải sản nướng rất tuyệt, spaghetti ngon, 2 người lớn, 1 em bé ăn no chỉ hết tầm 1tr thôi. Phòng mình có trục trặc thiết bị chút, nhưng Melia hỗ trợ tốt, không fix được hoàn toàn nên Quản lý đã gửi tặng nhà mình 1 phần trái cây to ụ tại phòng để xin lỗi. Tóm lại, mình chấm 5 sao và recommend cho gia đình có con nhỏ muốn đi biển nghỉ dưỡng nhưng ngại xa xôi thì tới Melia là chuẩn luôn."
Ngo H. V. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Dịch vụ rất tốt, các bạn nhân viên rất đáng yêu và chu đáo"
Nguyen V. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,"Nhân viên nhiệt tình, thân thiện. Cảnh quan đẹp, ăn uống khá ổn."
Nguyen A. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Khách sạn, không gian đẹp nhiều tiện ích, phòng thì cũng ok nhưng thiếu bàn trang điểm gương toàn thân, nhân viên nhiệt tình, đồ ăn cũng phong phú, cực thích nhân viên nhiệt tình dễ thương."
Hao N. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Tuyệt vời, thoải mái, dịch vụ tốt, nhân viên nhiệt tình, thân thiện, dễ thương"
Quyen Q. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Resort rất tuyệt vời, nhân viên thân thiện, phòng sạch sẽ, đến hồ tràm bạn nên ở Melia nhé, mình thấy đây là resort đáng ở và mình hài lòng nhất từ trước đến giờ khi ở Hồ Tràm."
Trinh H. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"resort đẹp, tôi đã có khoảng thời gian tuyệt vời khi ở đây. mọi thứ đều good hài lòng. nếu có dịp sẽ quay trở lại"
Nhat N. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.3,"Resort có hạ tầng đẹp. Tuy nhiên điều cực kỳ không hài lòng là nhân viên lễ tân, check in rất lâu và giống người soát vé hơn là nhân viên check in của một resort 5 sao. Mình tới đưa giấy tờ tuỳ thân, mã số booking từ Travelloka, nhân viên tìm kiếm rất lâu bảo không thấy. Mình show cả email xác nhận từ Traveloka thì Nhânviên bảo để kiểm tra, sau đó ra quầy ngồi đợi khá lâu. Điểm trừ thứ 2 là buffet sáng dở, nhưng em bé trên 2 tuổi phải trả tiền phụ thu buffet sáng 450K. Thà rằng cộng vào giá phòng, còn bé nhà mình 3 tuổi kén ăn mà tính phí 450K buffet sáng thấy vô lý, nên tính vào giá phòng và có chính sách ưu đãi cho trẻ em thì thiện cảm hơn."
Thuy V. A. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,nhân viên rất thân thiện và nhiệt tình. bữa sáng rất ngon và đầy đủ❤️🌴
Van A. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Trên cả tuyệt vời lần này. Brezza đồ ăn rất ngon, các bạn thân thiệt và hỗ trợ tối đa. Chắc chắn mình sẽ quay lại"
Ca L. C. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Nhân viên nhiệt tình, vui vẻ, đồ ăn khá ngon"
Nguyen T. H. V. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Gia đình mình nghỉ 1 đêm tại đây và lần đầu trải nghiệm không khí mát mẻ trong lành, phong cảnh đẹp, khách sạn sạch, nhân viên chu đáo và mình có mã coupon nên hài lòng cho chuyến đi👍sẽ có dịp quay lại đây🥰"
Tran T. N. M. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,kỳ nghỉ thì tuyệt vời nhưng mình chưa được app cộng điểm thưởng
Tran T. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Dịch vụ đa dạng, sau 1 năm quay lại có khá nhiều thứ mới để trải nghiệm"
Trong K. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Không gian đẹp, đúng chất nghỉ dưỡng. Nhân viên phục vụ chu đáo, tận tình!"
Phuong P. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Khuôn viên và phòng giống hình, hồ bơi chung to rộng, nhân viên nhiệt tình, thích hợp để nghỉ dưỡng"
Nguyen T. T. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,"Tuyệt vời, nhân viên rất nhiệt tình kể cả bảo vệ, sẽ quay lại"
Nguyen V. A. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.6,"Khách sạn rất tuyêt vời nhưng không biết tại sao đến nơi lại charge thêm phí ăn sáng của bé. Mình nghĩ all fee nên included trong báo giá luôn thay vì phát sinh nhưng phí không cần thiết, hoặc nếu có thì nên ghi rõ luôn. Chưa kể quy đinh thuế 8% nhưng khách sạn vẫn charge tất cả dịch vụ 10%, thật không hiểu khách sạn lớn mà vậy."
Tran T. T. V. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,Khách sạn tuyệt vời khi đi nghĩ dường giađình có em bé nhỏ. Có không gian thoải mái cho các bé chơi nhưng tiếc đồ ăn hơi dở. Không hợp khẩu vị người việt. Nhà hàng phong cách nhật và âu nên khó kiếm đồ ăn cho e bé nhỏ
Le N. N. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Tôi đã biết đến Melia qua kì nghỉ cùng bạn bè, vì thế Tôi đã quyết định chọn Melia là điểm đón giao thừa của gia đình tôi năm nay, chọn Melia là điểm nghỉ dưỡng cho gia đình thật là tuyệt vời, Ba Mẹ rất hài lòng, và các baby nhà tôi cũng vậy. Cảm ơn Melia đã cho gia đình tôi những trãi nghiệm thú vị."
Tran N. S. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,Mình và gia đình đã có một chuyến nghỉ dưỡng tuyệt vời. Thật sự đáng đồng tiền bát gạo. Mọi người có cơ hội nên thử nhé!
Thi T. H. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.4,"Cảnh khá đẹp thích hợp cho nghĩ dưỡng , nhân viên nhiệt tình và dễ thương vô cùng . Điều không hài lòng ở đây là nhà hàng ăn tối breeza món ăn bthg nhưng giá khá cao , còn đồ ăn sáng buffet thì ở mức trung bình ít món không chuẩn 5*"
Van T. B. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.5,"Chúng tôi không được báo trước việc không được di chuyển ra ngoài khi đã vào khách sạn, và do đó không thể đặt bữa tối đúng giờ đó nhà hàng đã full booking"
Thi P. T. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,5.7,"Mình đã có những trải nghiệm rất tệ tại Melia Hồ Tràm. Chất lượng phòng không tương xứng với giá trị. Tiêu chuẩn 5 sao nhưng rất kém so với những nơi khác mình từng ở qua. Mình dùng bữa tối tại nhà hàng Âu của resort. Món âu mà làm rất mặn, món gà thì dùng loại gà kém chất lượng hệt như gà công nghiệp ngoài chợ. Không món nào ngon và vừa miệng cả. 5 sao đây ư? Thật không hiểu sao nơi đây được đánh giá cao thế. Và còn vài vấn đề về chăm sóc khách hàng làm mình không hài lòng nữa. Sẽ không bao giờ quay lại..!"
Nong T. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.2,Dịch vụ không xứng đáng với số tiền.very bad. Có sự phân biệt đối với phòng suite junior và villa..
Thi N. T. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,7.0,"Dear melia! đây là lần thứ 2 ghé, lần đầu mình ghé vài 2020 cùng bạn bè và mình đã rất thích, lần thứ 2 mình đến và mọi thứ không như mong đợi, trong lúc đợi phòng nhân viên không mời nước khi những khách khác thì có (liệu có phải do minh check in deluxe room), buổi tối mọi thứ đều tuyệt, phòng ốc hay view đều rất đẹp, chỉ có điều món steak của nhà hàng breza phải đợi trong vòng 60 phut, tức là thời điểm minh ghé la 6:28 phut khách chỉ có 2 bàn (4 khách) cho đến 7:28 mọi người kéo đến và đi, thì steak bàn mình vẫn không có, mình đã có hỏi nhân viên nhưng nhân viên đổ lỗi là do anh chi lựa phần bò day quá nên nướng hơi lâu. cảm ơn vì đã lắng nghe!"
Mai M. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Khách sạn tốt, nhân viên dễ thương. Bạn “Nhân quản lý” giải quyết vấn đề nhanh và tốt. Gia đình mình hài lòng"
Thi T. B. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,Nhân viên cực kì thân thiện. Giới thiệu rõ ràng khu resort kèm hoạt động theo giờ.
Phuong A. L. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Khuôn viên rộng đẹp, chỉ tiếc là buffet ít món"
Ho H. ,Vũng Tàu,Melia Ho Tram Beach Resort,5.8,"Nhân viên rất thân thiện lịch sự, phòng sạch sẽ. Tuy nhiên Đồ ăn rất dỡ. Giá hải sản cao gấp 10 lần bên ngoài và cao gấp nhiều lần so với các Resort 4, 5 sao cùng địa phương. Nhiều Resort để chọn lựa, không tội gì phải chọn nơi đắt địa như thế này!"
Truong H. Y. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.1,"Gia đình tôi có một kỳ nghỉ tuyệt vời ở đây, nhất định sẽ quay trở lại"
Kim X. L. ,Vũng Tàu,Melia Ho Tram Beach Resort,7.2,"Nha hang do an thuc uông không có ngon với lại giá lại đac không phù hợp với giá tiền. View noi này thì ok rồi, chi rieng việc ăn uống không được đa dạng"
Thi N. L. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Rất tuyệt. Tôi đi cùng gia đình có em bé và trẻ nhỏ, người già. Chúng tôi ở căn 2 ngủ liên thông. Phòng rất sạch sẽ, đẹp, rộng rãi và thoáng, có ban công. Đầy đủ tiện nghi. Đồ ăn ngon. Nhân viên nhiệt tình, chu đáo. Sẽ quay lại!"
Ly T. M. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"resort xanh, sạch, đẹp, có nhiều trò chơi cho trẻ em, buffe sáng ít món, đa phần là các loại bánh ngọt"
Thi N. T. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"resort mọi thu tuyệt vời, đo an rat ngon"
Anh T. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Resort rất đẹp, tiện nghi và bữa sáng ngon."
Thao D. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,"Tuyệt vời, nhân viên thân thiện"
Viet A. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,"Resort mới đẹp, Dịch vụ chu đáo nhân viên thân thiện. Hồ bơi lớn đẹp thuận tiện cho trẻ em, bãi cát vàng hoang sơ sạch đẹp. Nhà hàng Muối hơi ít đồ ăn hải sản"
Du T. M. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,Một kỳ nghỉ tuyệt vời bên gia đình khi ở đây
Du T. M. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,Kỳ nghỉ tuyệt vời bên gia đình
Nguyen T. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Thư giãn, chuyên nghiệp, tận tình"
Thi N. A. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.7,"Hài lòng với mọi thứ ngoài trừ giải pháp từ Resort trong việc bảo vệ trước dịch Covid. Toàn bộ nhân viên ở các nhà hàng không đeo khẩu trang, có bạn thu ngân hắt hơi 3 phát lấy tay che miệng nhưng lại không rửa tay mà tiếp tục làm việc. Khách nước ngoài đương nhiên không đeo khẩu trang thì mình hiểu nhưng khi hỏi bạn lễ Tân bạn bảo em cũng sợ lắm Nhưng sếp bảo đeo thì không thân thiện. Mình để management team nên suy nghĩ lại vì các đây 1 tháng khi mình đi các resort đều thấy Nhân viên đã được well Trained về vấn de này dù lúc đó dịch chưa bùng phát như bây giờ. Management team nên thay đổi để Nhân viên làm việc cũng yên tâm mà khách hàng cũng sẽ hiểu được đó là vì đảm bảo an toàn cho tất cả mọi người, sáng ra nhìn cảnh ăn buffet mà thực sự không cảm thấy không hề ngon miệng."
Truong T. H. Y. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.0,"Cho khách nhận phòng quá trễ, 4g chiều mới được nhận."
Uyen V. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.5,"1. Hướng dẫn phòng thả khách mà không nói v khách tầng phòng phải đi thế nào 2. Rõ là ghi chú đặc biệt tới lúc 2g nhưng tới vẫn phải đợi 3g mới được vô (do có note tuỳ trường hợp nên thôi bỏ qua) 3. Đồ ăn vị tây thì ngon nhưng vị Việt Nam thì phải nói 1 từ nhạt 4. Phục vụ của nhà hàng khu vực âu làm mình có cảm giác như họ nhiệt tình và thân thiện với khách tây hoặc việt kiều hơn, còn khách việt thì được dắt vô bàn order xong là bơ vơ, gọi 2, 3 lần mới có 1 người lại - order thì nhân viên đó bảo mình gọi phần như vậy ăn không nổi đâu vì mình là châu á - còn ở đây phục vụ theo phần ăn của tây, kết quả ăn xong vẫn đói..."
Nguyen P. M. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng đẹp và view biển rất đẹp. Khi nghỉ dưỡng thiết kế tốt nên đi nghỉ rất thoải mái. Tuy có nhà hàng Muối trong khu nghỉ là đồ ăn bình thường, giá mắc và phục vụ rất lâu. Nên ăn đồ Tây dưới nhà hàng Beeza hoặc ra ngoài ăn sẽ ổn hơn"
La N. H. A. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.4,"Phòng ok, nhân viên friendly, Đồ ăn sáng đủ món Á và Âu nhưng không ngon. Nhân viên quầy trứng chiên thái độ với khách rất tệ. Tôi Book hạng Level villa 3 phòng ngủ với đặc quyền là checkout trễ đến 4h (đây cũng là điểm nổi bật để tôi ưu tiên chọn Melia cho kỳ nghỉ này) nhưng villa của tôi thì khách sạn nói phải check out lúc 2h vì đầy phòng. Sau khi tôi check phòng trên app thấy vẫn còn và complain thì mới được giải quyết cho check out trễ lúc 4h. Tuy nhiên lúc check out tôi thấy người khách khác cũng ở hạng villa như tôi thì được check out cùng lúc 4h, vậy là do khách sạn cố tình làm khó hay do tôi booking qua online nên bị phân biệt đối xử như vậy? Tôi book resort 5* nhưng không ngờ lại trả nghiệm tệ vậy! Cám ơn traveloka vì giá tốt và các bạn nhân viên nhiệt tình"
Ngoc H. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,7.0,"Tiện ích và nội thất khách sạn rất tốt nhưng thẻ bị lỗi nhận phòng 16h mà cả hai thẻ đều lỗi không vào phòng được phải đợi nhân viên xử lý lại mất thêm thời gian chờ đợi, thiết kế hành lang trước cửa phòng (ko phải hành lang hướng biển) gió quá mạnh rất ảnh hưởng đến sức khoẻ người lớn tuổi và trẻ em. Đồ ăn sáng có nhiều thức ăn cũ (cơm chiên có mùi chua, 2 món rau củ xào dùng rất nhiều tỏi lúc ăn vào nghe mùi chua đã báo bếp xử lý), hơi thất vọng khi giá cả khá cao nhưng thời gian check in quá muộn so với bình thường và thức ăn sáng nhiều đồ cũ"
Lam V. D. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng view biển sạch đẹp, chăn nệm êm giúp ngủ ngon, buffet sáng phong phú. Nhân viên nhiệt tình, chu đáo. Check in & out nhanh chóng. Bãi biển sạch đẹp, có hồ bơi cân bằng nước ấm . Nhiều dịch vụ giải trí, kids club, spa, chiếu phim ngoài trời... Menu gọi món lên phòng 24h. Resort có nhà hàng Âu, Á, hải sản view biển . Muốn ăn ngoài thì cách 5km có nhiều quán hải sản tươi ngon giá cả phù hợp như Ngọc Nữ, Hải sản 59K... Sẽ quay lại lần nữa!"
Lam V. D. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Buffet sáng đa dạng, vừa miệng, nhân viên nhiệt tình chu đáo, check in & check out nhanh chóng. Có hồ bơi nước ấm cân bằng, có kids club, chiếu phim ngoài trời, spa, gym... Menu gọi món lên phòng phục vụ 24h. Phòng sạch view biển đẹp, chăn nệm êm ngủ ngon giấc. Sẽ quay lại."
Lam V. D. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng view biển sạch đẹp, thức ăn sáng phong phú. Nhân viên nhiệt tình chu đáo. Bãi biển sạch đẹp."
Tram T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,Các bạn nhân viên nhanh nhẹn và dễ thương ❤️ Hồ bơi sạch sẽ Muối restaurant thì hơi mặn tí
Thao D. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.1,Mọi thứ đều tuyệt vời. Nhân viên thân thiện
Nguyen T. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,Dịch vụ tốt. Rất đang để trải nghiệm!!!
Nguyen H. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.8,"Chỉ duy nhất thời gian đưa đón shuttle bus hơi trễ và quá sớm, mọi thứ đều ổn."
Thanh V. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Tôi ở phòng 1502. Mọi thứ đều tuyệt vời. Phòng sạch sẽ, thơm. Nước chảy mạnh. View đẹp. Đồ ăn sáng ngon. Món ăn ở nhà hàng Muối rất ngon. Nhân viên dễ thương, thân thiện và cảnh rất đẹp"
Thanh V. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Cám ơn traveloka đã có mã giảm giá để gia đình tôi có 1 trải nghiệm tuyệt vời. Cám ơn resort đã nâng cấp phòng miễn phí cho tôi. Resort không rộng lắm nhưng mọi thứ đều rất chỉnh chu và đẹp. Phòng rộng, sạch, đẹp, trang thiết bị hiện đại, sang trọng. Resort bố trí chỗ rửa ở ngoài rất tiện lợi. Có bút chì màu và tranh cho bé tô màu. Có chỗ phơi đồ và ghế ngồi thư giãn bên ngoài. Phòng đầy đủ công năng rất tuyệt. Tuy nhiên nước nóng trong phòng 1501 lúc thì quá nóng, lúc thì tự động quá lạnh. Nhà hàng Muối dễ thương, ấm cúng, đồ ăn tại nhà hàng Muối ngon. Nhân viên lịch sự. Buffet sáng số lượng đồ ăn tương đối không nhiều lắm nhưng món nào cũng ngon. Đặc biệt nhiều loại nước uống và trái cây. Món phở rất ngon. Chắc chắn tôi sẽ quay lại"
Ba C. Q. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,8.5,Mình đặt king bed đã gọi báo trước nên đến nơi thì là 2 giường đơn. sau đó gọi điện báo thì mới ghép lại.
Tran T. D. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,Không có từ nào diễn tả được ngoài chữ “Tuyệt Vời“
Vu T. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng ốc rộng rãi, sạch sẽ, nhân viên thân thiện, nhiệt tình. Giá của app khá tốt, sẽ tiếp tục ủng hộ traveloka và Melia"
Hoang A. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,Rất đẹp. Mọi thứ hoàn hảo trừ việc phải trả buffet cho bé từ 2 tuổi.
Vu T. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,"Melia Hồ Tràm là nơi gia đình tôi hay chọn để nghỉ dưỡng cuối tuần, dịch vụ khách sạn tốt, phòng ốc sạch sẽ, có khu vui chơi cho trẻ em. Rất thích hợp cho gia đình có con nhỏ. Đây là lần đầu tiên tôi book khách sạn qua Travelloka, giá rẻ, xác nhận đặt phòng nhanh chóng, tôi rất hài lòng."
Phan N. P. T. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Phòng ở Villa rất đẹp, hồ bơi sạch. Nhân viên vô cùng thân thiện và chăm lo cho khách hàng. Đặt phòng villa sẽ có phòng check-in riêng và nhiều ưu đãi miễn phí như dùng phòng lounge uống trà cafe bất cứ lúc nào, free nước uống ở Level Pool vào buổi chiều... Di chuyển trong resort sẽ có xe điện đưa rước. Có nơi cho bé chơi. Cả gia đình mình đều rất hài lòng về tất cả dịch vụ. Chỉ có một điểm nhỏ là buffet sáng không được ngon lắm."
Hoang K. L. N. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.7,"Pros: Phòng sạch sẽ và đẹp, không gian yên tĩnh, nhân viên thân thiện, phù hợp với bạn nào thích nghỉ ngơi. Cons: xa Vũng Tàu"
Bui T. M. A. ,Vũng Tàu,Melia Ho Tram Beach Resort,6.4,thời gian check in trễ 16 PM
Phan N. L. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Chúng tôi có 1 kì nghỉ ngắn ngày thư giãn cuối tuần rất tuyệt vời. Gia đình được resort nâng cấp lên villa 2 phòng ngủ nên rất hài lòng. Mọi thứ ở đây đều đạt tiêu chuẩn nghỉ dưỡng 5*: phòng ốc mới, rộng rãi, sạch sẽ, tiện nghi rất đầy đủ; villa có hồ bơi riêng, có bồn tắm thư giãn với muối sả thơm, có khu tắm ngoài trời. Hồ bơi chung rộng và sạch, nước ấm. Các dịch vụ đa dạng, chất lượng tốt, đặc biệt là dịch vụ dành riêng cho trẻ em với kid club, khu chiếu phim ngoài trời và các hoạt động vui chơi khác. Ăn sáng không quá đa dạng món nhưng ngon, chất lượng. Gia đình dùng bữa tối tại nhà hàng Muối chuyên món Việt, món ăn ngon tuy nhiên thực đơn hơi ít món. Buổi tối tại villa có thể pha trà, ngồi ở ghế hiên nhà, ngắm đèn trời bay lên ở khu vực bãi biển, nghe tiếng ếch kêu, cá quẫy ở hồ nước cạnh nhà khá thú vị. Hồ nước nhiều nhưng không bị muỗi. Buổi sáng có thể dậy sớm ra khu vực bãi biển tại khu resort chờ ngư dân kéo lưới lên, mua hải sản và đóng thùng mang về. Chúng tôi thích style thiết kế ở đây, từ bài trí nội thất đến màu sắc chung của khu nghỉ dưỡng, đồng phục nhân viên... đều nhẹ nhàng, không cầu kì, tạo cảm giác thư giãn. Nhân viên rất thân thiện. Check in và check out hết sức nhanh chóng. Có dịp gia đình sẽ quay trở lại đây."
Le T. T. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.1,"Phòng rất tiện nghi, sạch sẽ và hiện đại, view biển đẹp, buffet sáng nhiều món, tgian phục vụ buffet tới 10h30, đi đâu trong resort cũng có thể gọi xe điện đưa đón hoặc đi xe đạp rất tiện, có xe đưa đón từ SàiGòn ra và ngược lại, all staffs are friendly and helpful. Chỉ duy nhất 1 điều mình nghĩ resort nên cân nhắc là giờ check in là 16h, nếu khách đi xe đưa đón từ SàiGòn lúc 14h thì tới nơi tầm hơn 16h chiều, mất 1 khoảng thời gian để enjoy buổi chiều tại resort. Nếu được, Melia nên chỉnh lại giờ đón khách là 11h-12h tại SG, tới resort lúc 14h, khách check in và nghỉ ngơi 1 chút, sau đó xuống biển, hồ bơi để enjoy buổi chiều tại đây là quá tuyệt."
Huynh T. C. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.1,"phòng rất đẹp, khung cảnh xung quanh rất yên bình, có hồ bơi tràn, thích hợp nghỉ dưỡng, thư giản, nhưng chủ yếu sử dụng tiện ích khách sạn, vì bên ngoài khu resort hầu như không có gì."
Ha M. P. ,Vũng Tàu,Melia Ho Tram Beach Resort,10.0,"Khách sạn mới, phòng to rộng, giường thoải mái, view đẹp. Có rất nhiều dịch vụ vui chơi bên trong như xem phim ngoài trời free popcorn, chơi bóng hơi trên bãi biển. Trẻ con rất thích. Service tốt, ăn sáng ngon, phong phú. Trẻ em trên 2 tuổi phụ thu 350k buffet sáng"
