User_name,Location,Hotel_name,Rating,Comment
Dinh Q. L. B. ,Quy Nhơn,AVANI Quy Nhon Resort and Spa,10.0,"Phong cảnh đẹp, phòng ốc sạch sẽ sang trọng, phục vụ tốt, món ăn nhìn hấp dẫn nhưng khẩu vị chỉ ở mức 6/10 (chắc do mình kén ăn)."
Minh T. T. ,Đà Nẵng,The Garden Hotel and Apartment,6.0,Đề nghị Khách sạn kiểm tra kỹ các thông tin trước khi phản hồi tới khách hàng.
Diem M. L. ,Quy Nhơn,Hoang Yen Canary Hotel Quy Nhon,6.0,Không hài lòng về thái độ của lễ tân
Minh T. ,Quy Nhơn,Hong Diep Hotel Quy Nhon,4.5,Nhà tắm không sạch sẽ. thái độ phục vụ của lễ tân không thân thiệt nhiệt tình.
Nguyen T. T. H. ,Vũng Tàu,Oceanami Villas & Beach Club,6.1,Phòng ốc không sạch sẽ . Nhưng bữa sáng rất Ok
Vu T. K. C. ,Hội An,Hội An Reverie Villas,8.5,Hài lòng về tất cả mọi thứ ở đây
Phung T. N. ,Hồ Chí Minh,Khách sạn Meraki Boutique,9.1,"Phòng rộng rãi, sạch sẽ. Nhân viên phục vụ nhiệt tình. Tuy ở khu phố Tây buổi tối hơi ồn, khó ngủ nhưng chúng tôi vẫn hài lòng về khách sạn. Sẽ quay lại lần sau"
 Nguyen Dinh Bach,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,Mọi việc đều tốt trong chuyến đi
Ti T. ,Hồ Chí Minh,Ruby Saigon Hotel,7.0,Tôi không thích bồn tắm trong phòng của tôi.
Mr. Le Xuan Nha,Nha Trang,Khu nghỉ dưỡng Vinpearl Nha Trang,7.0,"khách sạn tốt, tôi thấy rất hài lòng."
Le T. T. K. ,Đà Nẵng,Khách sạn Royal Charm,9.1,"Royal Charm đã thực sự làm cho chúng tôi hài lòng đặc biệt là buffet ăn sáng, chúng tôi dậy muộn và xuống sảnh ăn lúc 8 rưỡi nhưng đồ ăn vẫn còn rất nhiều gần như full mọi thứ! Hơn nữa, nhân viên cực kỳ nhiệt tình và rất nice, họ luôn nở nụ cười thật tươi để chào mỗi khi gặp chúng tôi! Chắc chắn sẽ quay lại nơi này!!!!"
 Ha Truc Khanh,Nha Trang,Khu nghỉ dưỡng Amiana Nha Trang,10.0,"Phòng đẹp, dịch vụ tốt, khách sạn sạch sẽ. Nhân viên hỗ trợ mình nhanh chóng."
Trần Thị Thanh Binh,Đà Nẵng,Khu nghỉ dưỡng Núi Thần Tài Ebisu Đà Nẵng,10.0,"Tôi thấy mọi thứ rất tốt và lần sau sẽ gọi lại đặt phòng bên IVIVU,nhân viên tư vấn rất nhiệt tình."
 Nguyễn Thị Lệ Hằng,Phú Quốc,Vinpearl Discovery Wonderworld Phú Quốc,10.0,Tôi rất hài lòng về cung cách làm việc chuyên nghiệp của các nhân viên tại đây. Tôi sẽ tiếp tục lựa chọn nghỉ tại vinperl cho các kỳ nghỉ tới 
Quynh N. B. ,Vũng Tàu,Oceanami Villas & Beach Club,5.4,"Nhân viên không thân thiện: nhânviên check in với nhânviên hồ bơi khá khó chịu. Khi nhận phòng thì sàn nhà khá dơ, nước tắm yếu, không đúng tiêu chuẩn 5 sao. Sau 2 năm quay lại vẫn thất vọng về dịch vụ ở đây."
Thi B. N. N. ,Hà Nội,Khách sạn Lotte Hà Nội,9.7,dịch vụ tốt. nói chung là cái gì cũng khá là hài lòng
Nguyen Thúy Ngọc,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,8.0,"Khách sạn ở vị trí thuận lợi. Phòng sạch sẽ, rộng rãi. Tuy nhiên hành làng bị hôi, tôi đã phản ánh với khách sạn ngay lúc đó và họ đã dọn dẹp ngay. Nhân viên vui vẻ. Tôi hài lòng về thái độ phục vụ của nhân viên bên ivivu."
Ngoc T. T. D. ,Phú Quốc,VinOasis Phu Quoc,6.3,"chuyến bay rất ok Phòng thì bình thường. Nhưng tệ hơn so với cách đây 2 năm tôi ở tại đây. Dịch vụ trong phòng không tốt như trước đây Đặc biệt dịch vụ vận chuyển đưa đón tại khách sạn đến các địa điểm vui chơi thì khá tệ. Quá đông khách nên sắp xếp vậy chăng? - Dồn khách lên xe bus đông đúc, chen chúc nhau trên xe như dịch vụ 2 sao. Mỗi nơi đi, chờ xe rất lâu. - thay vì trươc đây có xe tuk tuk chở đi theo yêu cầu, lịch sự và phục vụ chuẩn 5 sao => Chẳng thà thêm phí để phục vụ chuẩn 5 sao như dịch vu của Vinpearl. Chứ đi 5 sao mà phục vụ kiểu này thì không thích lắm. Vì thế đánh giá khách sạn chỉ ở mức 3 sao mà thôi"
Nguyễn Huyền Anh,Nha Trang,Khu nghỉ dưỡng Vinpearl Nha Trang,9.5,"Chuyến đi của chúng tôi rất tốt, bạn nhân viên iVIVU nói chuyện tư vấn dễ chịu và đầy đủ thông tin"
Ly N. D. ,Đà Nẵng,Angel Hotel Danang,8.5,"nhân viên nói chuyện nhỏ nhẹ, chu đáo, dễ thương, thân thiện. rất thích ở đây"
Nguyen T. T. ,Hà Nội,Hanoi Charming House,10.0,"Phòng sạch sẽ, phục vụ nhiệt tình"
Viet A. H. ,Vũng Tàu,Melia Ho Tram Beach Resort,9.4,"Resort mới đẹp, Dịch vụ chu đáo nhân viên thân thiện. Hồ bơi lớn đẹp thuận tiện cho trẻ em, bãi cát vàng hoang sơ sạch đẹp. Nhà hàng Muối hơi ít đồ ăn hải sản"
Ngô Tấn Phong,Phan Thiết,Khu nghỉ dưỡng Muine Bay Phan Thiết,6.0,"Khách sạn ở tốt, ăn sáng ngon, gần biển đẹp nhưng hơi xa trung tâm thành phố nên hơi buồn, phù hợp với khách đi nghỉ dưỡng, có xe đưa đón đi tham quan các điểm du lịch theo giờ."
Nguyen T. B. P. ,Hội An,Hội An Reverie Villas,9.1,"Phục vụ tận tình, phòng tiện nghi, nhân viên lễ tân rất dễ thương, phòng rộng và đẹp, đặc biệt khách sạn có một chú chó tên Gáo sẽ xuất hiện vào buổi tối để canh nhà, cực to cực dễ thương... sẽ quay lại vì Gáo :)
"
Philip J. C. ,Hồ Chí Minh,The Noble Swan Woodpark Hotel,8.8,Ngay bên cạnh công viên và khu du lịch. Bữa sáng ngon và phòng đẹp.
Pham T. H. T. ,Hội An,Golden River Hotel,9.4,"Nhân viên thân thiện, dễ thương, khách sạn gần phố đi bộ rất tiện vui chơi, phòng rộng rãi sạch sẽ"
Pham A. K. ,Huế,DMZ Hotel,9.1,Rất tốt nhân viên nhiệt tình vị trí trung tâm
